Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.006977	0.036040	10.504012	-152.472426	2081.712535	-1781.728735
1.02	0.007112	0.039245	10.475573	-128.205603	867.202267	-2407.391549
1.53	0.007039	0.041907	10.454954	-91.557074	-451.982769	-2861.019631
2.04	0.007093	0.044116	10.442880	-51.741821	-1646.963869	-3126.632198
2.55	0.007005	0.045899	10.435542	-26.353187	-2400.650645	-3288.079785
3.06	0.006952	0.047401	10.433023	-15.616993	-2705.886473	-3343.494341
3.57	0.006907	0.048656	10.430998	-23.053466	-2581.402023	-3388.042289
4.08	0.006901	0.049743	10.430152	-26.033091	-2532.320882	-3406.651847
4.59	0.006910	0.050662	10.430234	-16.689237	-2745.515254	-3404.841373
5.10	0.006945	0.051429	10.429742	6.819505	-3298.042804	-3415.681886
5.61	0.006947	0.052004	10.429343	25.533248	-3738.011808	-3424.443562
6.12	0.006950	0.052427	10.428784	35.250077	-3974.601159	-3436.759690
6.63	0.006904	0.052690	10.428785	26.672314	-3777.108794	-3436.726115
7.14	0.006893	0.052889	10.428462	12.053558	-3448.051506	-3443.843637
7.65	0.006878	0.053037	10.428847	-0.937570	-3140.113225	-3435.366336
8.16	0.006902	0.053165	10.429485	3.628590	-3230.506861	-3421.326939
8.67	0.006928	0.053268	10.429080	19.160140	-3597.391815	-3430.249766
9.18	0.007003	0.053343	10.428822	42.229171	-4134.368576	-3435.911716
9.69	0.006987	0.053334	10.428908	54.711391	-4419.736567	-3434.034005
10.20	0.006974	0.053264	10.429298	57.050712	-4464.575319	-3425.437777
10.71	0.006909	0.053149	10.429537	46.983256	-4227.320198	-3420.185831
11.22	0.006872	0.053071	10.429192	40.492425	-4085.853498	-3427.769387
11.73	0.006846	0.053009	10.429356	40.611098	-4084.810186	-3424.168291
12.24	0.006880	0.053028	10.428684	51.641805	-4354.227702	-3438.948474
12.75	0.006910	0.053061	10.427114	57.504784	-4525.397330	-3473.485426
13.26	0.006955	0.053079	10.427087	59.599674	-4574.245420	-3474.081090
13.77	0.006921	0.053019	10.427606	50.813450	-4360.028604	-3462.671483
14.28	0.006890	0.052930	10.428831	41.369850	-4114.377793	-3435.711861
