Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.007206	0.073845	10.465932	-115.810263	419.352065	-2619.506498
1.02	0.007177	0.077870	10.446332	-101.020889	-373.128228	-3050.703985
1.53	0.007185	0.081206	10.439485	-77.507881	-1072.305281	-3201.340533
2.04	0.007174	0.084055	10.437294	-55.390365	-1631.972428	-3249.540881
2.55	0.007171	0.086573	10.437000	-39.707591	-1999.744695	-3255.989436
3.06	0.007143	0.088761	10.437189	-22.638427	-2388.315763	-3251.834949
3.57	0.007136	0.090633	10.436969	-11.210361	-2656.474120	-3256.688602
4.08	0.007118	0.092151	10.436860	-1.471129	-2883.184522	-3259.089209
4.59	0.007123	0.093360	10.437523	11.960957	-3177.081434	-3244.489582
5.10	0.007129	0.094263	10.438142	24.532441	-3452.199456	-3230.874263
5.61	0.007144	0.094938	10.437781	30.430364	-3596.296406	-3238.819140
6.12	0.007150	0.095407	10.437047	31.174250	-3630.348984	-3254.967377
6.63	0.007159	0.095756	10.435965	28.503962	-3593.841837	-3278.778744
7.14	0.007155	0.095981	10.435781	24.696221	-3510.420954	-3282.815678
7.65	0.007157	0.096139	10.436437	23.594825	-3469.943627	-3268.389225
8.16	0.007156	0.096213	10.436558	28.358740	-3576.819700	-3265.730093
8.67	0.007165	0.096250	10.436126	32.870240	-3690.621671	-3275.220306
9.18	0.007171	0.096221	10.435290	37.545153	-3817.526598	-3293.621152
9.69	0.007171	0.096163	10.435057	38.745593	-3850.525357	-3298.738889
10.20	0.007161	0.096052	10.435809	38.138652	-3819.211452	-3282.195956
10.71	0.007147	0.095940	10.436114	36.717830	-3779.465592	-3275.481404
11.22	0.007129	0.095822	10.434748	37.496093	-3828.889207	-3305.537286
11.73	0.007127	0.095748	10.433980	39.904101	-3902.047169	-3322.446631
12.24	0.007132	0.095703	10.433958	43.366511	-3982.252873	-3322.925703
12.75	0.007143	0.095704	10.434015	44.739445	-4012.534217	-3321.663555
13.26	0.007149	0.095720	10.434461	43.707111	-3978.496488	-3311.863370
13.77	0.007143	0.095745	10.435708	40.681215	-3880.087325	-3284.434720
14.28	0.007134	0.095758	10.436842	38.581039	-3805.580425	-3259.479056
14.79	0.007123	0.095785	10.436874	36.634155	-3760.020099	-3258.769622
15.30	0.007110	0.095817	10.435786	36.160506	-3774.221786	-3282.717336
15.81	0.007091	0.095872	10.435234	36.039904	-3784.174443	-3294.859482
16.32	0.007054	0.095905	10.435300	35.251040	-3764.495408	-3293.409857
16.83	0.006994	0.095946	10.434990	34.158841	-3746.482747	-3300.210616
17.34	0.006903	0.095926	10.435594	33.822379	-3724.816391	-3286.931193
17.85	0.006794	0.095898	10.435821	34.199058	-3728.245966	-3281.931369
18.36	0.006685	0.095831	10.435088	35.024348	-3764.147946	-3298.056250
18.87	0.006591	0.095771	10.435257	36.036081	-3783.539537	-3294.337773
19.38	0.006511	0.095680	10.436706	36.315008	-3756.561132	-3262.478116
19.89	0.006456	0.095611	10.437583	38.305376	-3782.140665	-3243.172920
20.40	0.006412	0.095519	10.437703	36.854935	-3745.981789	-3240.530401
20.91	0.006381	0.095449	10.437909	38.190113	-3771.962306	-3235.994736
21.42	0.006355	0.095369	10.438669	39.674506	-3788.614304	-3219.284025
21.93	0.006328	0.095326	10.438906	39.209121	-3772.437198	-3214.071781
22.44	0.006306	0.095298	10.438630	39.803034	-3792.466373	-3220.136245
22.95	0.006300	0.095311	10.438459	37.536736	-3744.234959	-3223.892719
23.46	0.006290	0.095345	10.438503	37.605619	-3744.826003	-3222.943928
23.97	0.006298	0.095405	10.438577	37.305280	-3736.195509	-3221.306291
24.48	0.006296	0.095453	10.438502	38.409714	-3763.342889	-3222.950524
24.99	0.006303	0.095498	10.438822	37.887217	-3743.932067	-3215.907724
25.50	0.006298	0.095497	10.438888	39.269179	-3774.221144	-3214.454705
26.02	0.006295	0.095491	10.438950	38.224309	-3748.737607	-3213.089700
26.53	0.006283	0.095438	10.438914	37.804859	-3739.914903	-3213.884181
27.04	0.006289	0.095389	10.438824	37.644463	-3738.302875	-3215.868537
27.55	0.006283	0.095308	10.438646	37.189504	-3731.941108	-3219.790267
28.06	0.006289	0.095261	10.438749	38.501672	-3759.759205	-3217.512758
28.57	0.006286	0.095204	10.438825	38.692032	-3762.388812	-3215.841120
29.08	0.006294	0.095183	10.438653	39.367093	-3781.903613	-3219.633003
