Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.007082	0.074750	10.462431	-116.571398	351.535794	-2696.518505
1.02	0.007147	0.078836	10.443865	-101.492354	-423.770081	-3104.972487
1.53	0.007086	0.082180	10.437661	-79.414355	-1075.089306	-3241.467952
2.04	0.007106	0.085059	10.434598	-57.625918	-1647.279492	-3308.840200
2.55	0.007067	0.087552	10.433995	-41.310550	-2036.764476	-3322.109769
3.06	0.007059	0.089757	10.434884	-22.548674	-2448.164428	-3302.562323
3.57	0.007029	0.091617	10.434540	-11.769528	-2704.212139	-3310.112920
4.08	0.007034	0.093163	10.435063	-1.725437	-2923.367774	-3298.612734
4.59	0.007010	0.094375	10.436204	9.606094	-3157.912259	-3273.521716
5.10	0.007023	0.095300	10.436662	21.910100	-3430.582384	-3263.444778
5.61	0.007017	0.095958	10.436212	27.014522	-3558.450354	-3273.332866
6.12	0.007028	0.096432	10.434742	30.132790	-3664.132067	-3305.670507
6.63	0.007016	0.096733	10.434231	26.785518	-3598.867107	-3316.915227
7.14	0.007025	0.096946	10.434343	24.282424	-3538.675963	-3314.462948
7.65	0.007013	0.097071	10.434197	21.491862	-3477.785052	-3317.655547
8.16	0.007031	0.097154	10.434374	26.011527	-3577.747401	-3313.764770
8.67	0.007024	0.097184	10.434938	30.006655	-3656.722259	-3301.371983
9.18	0.007050	0.097182	10.435010	35.935937	-3791.540103	-3299.776869
9.69	0.007031	0.097131	10.434376	36.629159	-3822.121663	-3313.726600
10.20	0.007044	0.097077	10.434082	37.753726	-3854.781703	-3320.187314
10.71	0.007019	0.096998	10.433522	35.220797	-3809.393441	-3332.510714
11.22	0.007021	0.096968	10.433343	36.385089	-3840.329377	-3336.454470
11.73	0.007005	0.096956	10.433364	37.059307	-3855.372343	-3335.999180
12.24	0.007018	0.096986	10.433331	41.880682	-3967.101403	-3336.707584
12.75	0.007003	0.097029	10.433115	42.816416	-3993.624156	-3341.460403
