Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.006994	0.042809	10.504363	-153.096707	2164.019716	-1774.016100
1.02	0.007031	0.046668	10.485554	-129.465994	1186.256644	-2187.812633
1.53	0.007000	0.049949	10.470921	-87.869553	-108.761382	-2509.738597
2.04	0.007023	0.052653	10.459843	-49.743845	-1241.888742	-2753.448575
2.55	0.007031	0.054909	10.452010	-28.791464	-1904.874234	-2925.789501
3.06	0.007009	0.056747	10.446830	-22.946135	-2158.890323	-3039.741673
3.57	0.007008	0.058289	10.444747	-28.165590	-2086.784168	-3085.571023
4.08	0.006979	0.059546	10.444085	-29.284085	-2076.309168	-3100.139398
4.59	0.007004	0.060627	10.442294	-10.819813	-2542.645249	-3139.530789
5.10	0.007002	0.061500	10.442512	13.798379	-3104.329773	-3134.744252
5.61	0.007069	0.062207	10.442892	31.528783	-3503.716404	-3126.386892
6.12	0.007028	0.062695	10.442979	31.548351	-3502.156356	-3124.469069
6.63	0.007067	0.063052	10.441802	19.138797	-3243.634369	-3150.359662
7.14	0.007004	0.063282	10.441408	3.299344	-2888.098685	-3159.024095
7.65	0.007009	0.063491	10.441189	-1.371552	-2785.627431	-3163.842434
8.16	0.006999	0.063637	10.440451	7.945121	-3017.120741	-3180.084271
8.67	0.007031	0.063792	10.441643	27.131571	-3431.285483	-3153.851152
9.18	0.007027	0.063888	10.441604	41.816022	-3770.212209	-3154.705539
9.69	0.007056	0.063949	10.441447	49.798732	-3957.596377	-3158.163360
10.20	0.006995	0.063925	10.440379	47.733735	-3934.701292	-3181.668014
10.71	0.006982	0.063920	10.439908	45.620577	-3896.908334	-3192.019046
11.22	0.006957	0.063888	10.441083	44.394470	-3841.583104	-3166.167570
11.73	0.006966	0.063894	10.440336	50.391444	-3996.864947	-3182.606751
12.24	0.006965	0.063881	10.439830	56.079898	-4139.488739	-3193.745993
12.75	0.007017	0.063888	10.439674	59.336475	-4218.056958	-3197.182860
13.26	0.006990	0.063852	10.439980	55.832005	-4130.318028	-3190.441401
13.77	0.006994	0.063835	10.440595	51.744232	-4022.025440	-3176.902190
14.28	0.006959	0.063797	10.440085	44.375734	-3864.171532	-3188.126204
14.79	0.006958	0.063823	10.439931	39.149491	-3747.412511	-3191.510009
15.30	0.006935	0.063862	10.440264	31.122243	-3554.948010	-3184.184022
15.81	0.006939	0.063949	10.439206	26.473516	-3472.335988	-3207.459374
16.32	0.006900	0.064010	10.439317	23.557938	-3402.659453	-3205.016502
16.83	0.006856	0.064073	10.439513	24.730375	-3425.133153	-3200.709227
17.34	0.006751	0.064058	10.439279	27.445421	-3493.042923	-3205.870180
17.85	0.006656	0.064030	10.438883	33.013898	-3630.346245	-3214.568742
18.36	0.006533	0.063953	10.438470	34.787479	-3680.699743	-3223.655887
18.87	0.006459	0.063892	10.438684	33.837078	-3653.901128	-3218.961995
19.38	0.006371	0.063813	10.439258	31.439634	-3585.466343	-3206.326153
19.89	0.006328	0.063764	10.439550	34.419182	-3647.319422	-3199.901504
20.40	0.006271	0.063695	10.439329	40.528101	-3793.050576	-3204.772073
