Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.006938	0.069007	10.472897	-120.832471	697.903618	-2466.271108
1.02	0.006928	0.072810	10.456756	-104.484033	-50.697887	-2821.377590
1.53	0.006922	0.075990	10.449980	-77.104727	-837.214298	-2970.429211
2.04	0.006926	0.078728	10.447735	-52.632880	-1452.326517	-3019.821165
2.55	0.006911	0.081166	10.446552	-36.849314	-1842.952006	-3045.856286
3.06	0.006891	0.083289	10.445547	-23.119726	-2182.189815	-3067.974845
3.57	0.006900	0.085101	10.444648	-15.714956	-2373.370934	-3087.745334
4.08	0.006889	0.086575	10.445337	-8.226045	-2529.860158	-3072.575432
4.59	0.006899	0.087760	10.445471	6.777462	-2872.156269	-3069.637909
5.10	0.006899	0.088672	10.444257	21.994086	-3250.429414	-3096.339288
5.61	0.006908	0.089387	10.443413	29.669987	-3446.608957	-3114.924161
6.12	0.006890	0.089911	10.443009	29.681946	-3456.184440	-3123.795665
6.63	0.006894	0.090318	10.443024	24.877204	-3345.235971	-3123.466612
7.14	0.006891	0.090596	10.442802	19.254533	-3220.940230	-3128.366081
7.65	0.006909	0.090800	10.443216	17.798767	-3177.880634	-3119.257845
8.16	0.006921	0.090901	10.444119	22.774313	-3271.577435	-3099.379840
8.67	0.006943	0.090951	10.444521	29.999759	-3428.631703	-3090.534238
9.18	0.006939	0.090928	10.445207	35.720831	-3544.516742	-3075.451012
9.69	0.006932	0.090867	10.445250	38.742107	-3613.062829	-3074.494584
10.20	0.006907	0.090773	10.444970	39.121916	-3628.259327	-3080.650543
10.71	0.006894	0.090689	10.444363	38.970609	-3638.783041	-3094.011639
11.22	0.006883	0.090595	10.443445	39.404022	-3669.939292	-3114.214624
11.73	0.006893	0.090533	10.442820	41.614161	-3735.218450	-3127.953252
12.24	0.006898	0.090463	10.442586	44.257562	-3801.482228	-3133.117310
12.75	0.006903	0.090413	10.442505	45.043516	-3821.437014	-3134.893851
13.26	0.006893	0.090375	10.442660	44.547027	-3806.431583	-3131.482291
13.77	0.006886	0.090371	10.443688	43.236461	-3752.557554	-3108.869734
14.28	0.006870	0.090390	10.444020	40.853249	-3690.032681	-3101.558864
14.79	0.006872	0.090457	10.443242	38.072812	-3643.983395	-3118.686638
15.30	0.006866	0.090523	10.441964	34.226926	-3584.911052	-3146.787379
15.81	0.006855	0.090595	10.440992	30.880208	-3530.302425	-3168.185073
16.32	0.006817	0.090636	10.440638	29.869217	-3515.191219	-3175.970330
16.83	0.006754	0.090668	10.441825	30.264800	-3496.905787	-3149.841311
17.34	0.006660	0.090658	10.441967	32.284010	-3540.125298	-3146.729659
17.85	0.006560	0.090651	10.441253	34.923413	-3617.347282	-3162.434591
18.36	0.006465	0.090608	10.442230	34.890912	-3594.058462	-3140.932945
18.87	0.006387	0.090559	10.443608	34.688642	-3557.629835	-3110.625065
19.38	0.006307	0.090473	10.444244	31.885374	-3478.424993	-3096.626902
19.89	0.006253	0.090391	10.443655	34.497204	-3552.136288	-3109.588432
20.40	0.006194	0.090282	10.444262	35.766833	-3567.371166	-3096.241827
20.91	0.006160	0.090201	10.445404	40.658963	-3653.648083	-3071.117654
21.42	0.006113	0.090125	10.445757	44.023823	-3722.952578	-3063.340057
21.93	0.006101	0.090100	10.445265	43.489270	-3721.999267	-3074.168696
22.44	0.006087	0.090090	10.444489	41.136229	-3685.721507	-3091.232564
22.95	0.006081	0.090113	10.444858	36.741361	-3576.052101	-3083.123382
23.46	0.006076	0.090113	10.444560	36.026067	-3566.459881	-3089.680136
23.97	0.006080	0.090124	10.445129	36.724593	-3569.405538	-3077.151386
24.48	0.006074	0.090119	10.445439	38.508653	-3603.325872	-3070.332769
24.99	0.006077	0.090142	10.445018	39.225856	-3629.565678	-3079.614305
25.50	0.006079	0.090170	10.443838	39.149526	-3655.001012	-3105.553299
26.02	0.006065	0.090234	10.442920	36.463101	-3614.335894	-3125.752684
26.53	0.006063	0.090293	10.443004	34.581171	-3569.077417	-3123.904882
27.04	0.006068	0.090357	10.443361	35.114218	-3573.114183	-3116.050613
27.55	0.006069	0.090371	10.443518	35.279079	-3573.297902	-3112.605746
28.06	0.006076	0.090364	10.444791	38.547063	-3619.170348	-3084.603460
28.57	0.006073	0.090318	10.445127	39.633035	-3636.413350	-3077.205263
29.08	0.006078	0.090271	10.444374	40.460904	-3672.838016	-3093.772120
29.59	0.006072	0.090211	10.443134	38.878379	-3665.012205	-3121.057018
30.10	0.006070	0.090189	10.442542	39.986589	-3704.159988	-3134.065576
30.61	0.006069	0.090144	10.442922	36.796189	-3621.962323	-3125.713428
31.12	0.006072	0.090112	10.443143	41.267507	-3719.786848	-3120.844994
31.63	0.006072	0.090041	10.443877	38.537413	-3640.011352	-3104.695707
32.14	0.006075	0.090021	10.444204	41.128730	-3692.133338	-3097.513508
32.65	0.006069	0.089909	10.444510	39.018253	-3636.484413	-3090.772791
33.16	0.006069	0.089912	10.445361	40.024457	-3640.017978	-3072.048666
33.67	0.006064	0.089793	10.446272	37.114469	-3552.037103	-3052.022436
34.18	0.006073	0.089822	10.446656	38.479606	-3574.594200	-3043.563303
34.69	0.006077	0.089733	10.446412	36.963811	-3545.339688	-3048.941960
35.20	0.006083	0.089790	10.446034	37.744687	-3572.038014	-3057.262721
35.71	0.006082	0.089749	10.445992	37.868705	-3575.844689	-3058.170674
36.22	0.006084	0.089834	10.446825	38.035139	-3560.461650	-3039.842060
36.73	0.006077	0.089826	10.445830	38.801400	-3601.046261	-3061.729934
37.24	0.006073	0.089888	10.445813	40.151865	-3632.542390	-3062.119970
37.75	0.006075	0.089860	10.446728	39.562528	-3597.875428	-3041.991975
38.26	0.006078	0.089863	10.446764	40.192952	-3611.555804	-3041.198554
38.77	0.006084	0.089785	10.446186	39.283816	-3603.947644	-3053.904409
39.28	0.006085	0.089730	10.445956	39.093249	-3604.880422	-3058.978765
39.79	0.006084	0.089625	10.445621	38.116018	-3590.108566	-3066.346415
40.30	0.006084	0.089583	10.445108	38.919902	-3620.429438	-3077.617497
40.81	0.006073	0.089534	10.445702	38.503306	-3597.144356	-3064.553591
41.32	0.006079	0.089535	10.447083	38.659814	-3568.907654	-3034.181767
41.83	0.006073	0.089523	10.447277	37.665271	-3541.519823	-3029.895130
42.34	0.006078	0.089530	10.447642	37.015012	-3518.136244	-3021.868173
42.85	0.006080	0.089509	10.448216	35.728351	-3475.298386	-3009.258154
43.36	0.006082	0.089506	10.447465	35.939818	-3497.464659	-3025.759165
43.87	0.006078	0.089464	10.446274	36.159048	-3529.979829	-3051.961570
44.38	0.006078	0.089446	10.445643	37.458705	-3574.459061	-3065.851933
44.89	0.006076	0.089382	10.445999	37.848708	-3575.234717	-3058.027907
45.40	0.006075	0.089330	10.446847	38.254207	-3565.011828	-3039.372078
45.91	0.006069	0.089268	10.447325	37.470901	-3535.939100	-3028.839725
46.42	0.006079	0.089236	10.446905	37.024619	-3535.372100	-3038.098590
46.93	0.006070	0.089202	10.446661	36.623928	-3531.764753	-3043.456108
47.44	0.006066	0.089201	10.447156	37.156162	-3532.599222	-3032.565024
47.95	0.006056	0.089192	10.447801	37.530951	-3526.361367	-3018.384861
48.46	0.006054	0.089211	10.447937	38.442296	-3544.205565	-3015.394701
48.97	0.006047	0.089221	10.450800	38.399022	-3477.169734	-2952.399125
49.48	0.006052	0.089217	10.469748	38.704356	-3047.191212	-2535.535730
49.99	0.006049	0.089112	10.519742	38.841031	-1897.325298	-1435.671588
50.50	0.006055	0.088847	10.553930	39.832628	-1131.668494	-683.533638
51.01	0.006056	0.088281	10.562900	40.917438	-949.769692	-486.198556
51.53	0.006058	0.087380	10.565723	42.383901	-918.429027	-424.101104
52.04	0.006055	0.086120	10.567235	42.618315	-888.943090	-390.826943
