Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.007310	0.043169	10.507914	-156.388947	2351.620864	-1695.901431
1.02	0.007240	0.047026	10.490031	-133.131330	1403.819080	-2089.310376
1.53	0.007218	0.050311	10.478039	-91.252952	163.210416	-2353.144052
2.04	0.007216	0.053062	10.470849	-48.076936	-996.501269	-2511.315402
2.55	0.007227	0.055405	10.464780	-23.217581	-1708.741202	-2644.848841
3.06	0.007268	0.057351	10.458313	-19.369103	-1946.468396	-2787.110962
3.57	0.007291	0.058990	10.453591	-29.757510	-1816.233590	-2890.993859
4.08	0.007265	0.060297	10.451722	-33.366421	-1776.277635	-2932.126198
4.59	0.007230	0.061377	10.451839	-16.904072	-2152.536392	-2929.551709
5.10	0.007196	0.062205	10.454522	11.616093	-2747.164682	-2870.508667
5.61	0.007193	0.062899	10.455395	34.890614	-3262.811820	-2851.311915
6.12	0.007210	0.063404	10.455758	38.459759	-3336.597226	-2843.322869
6.63	0.007237	0.063812	10.453704	23.157793	-3031.725404	-2888.513378
7.14	0.007257	0.064087	10.451011	3.339072	-2637.609201	-2947.754674
7.65	0.007261	0.064314	10.450774	-5.798910	-2432.735296	-2952.981412
8.16	0.007242	0.064438	10.453377	2.346566	-2560.194559	-2895.702452
8.67	0.007235	0.064563	10.454563	23.426443	-3018.094409	-2869.611517
9.18	0.007228	0.064624	10.454065	44.353032	-3511.306671	-2880.571276
9.69	0.007237	0.064668	10.454023	54.700416	-3750.456299	-2881.483570
10.20	0.007237	0.064643	10.453704	51.165207	-3676.438105	-2888.505372
10.71	0.007239	0.064624	10.454402	41.835106	-3445.581771	-2873.165992
11.22	0.007235	0.064573	10.452270	35.705389	-3353.641580	-2920.063600
11.73	0.007228	0.064548	10.449568	39.629995	-3506.303243	-2979.509598
12.24	0.007203	0.064513	10.450877	50.002343	-3714.868651	-2950.699283
12.75	0.007199	0.064534	10.451894	60.297644	-3928.410663	-2928.328026
13.26	0.007190	0.064520	10.451497	61.705546	-3969.969101	-2937.055329
13.77	0.007193	0.064534	10.450172	54.738983	-3840.179197	-2966.223824
14.28	0.007188	0.064510	10.451776	42.778219	-3527.841614	-2930.924665
14.79	0.007201	0.064526	10.451646	32.334643	-3290.440337	-2933.792377
15.30	0.007197	0.064515	10.451029	24.872634	-3132.904025	-2947.372722
15.81	0.007180	0.064539	10.453023	23.282415	-3050.292485	-2903.488079
16.32	0.007131	0.064537	10.453199	25.875045	-3105.918083	-2899.619176
16.83	0.007067	0.064563	10.452439	28.981424	-3194.952565	-2916.337994
17.34	0.006968	0.064544	10.452200	30.676965	-3239.494128	-2921.594758
17.85	0.006872	0.064541	10.452361	30.612840	-3234.302564	-2918.050600
18.36	0.006776	0.064504	10.452379	29.154992	-3200.337666	-2917.663568
18.87	0.006694	0.064482	10.452064	27.555402	-3170.789779	-2924.602379
19.38	0.006612	0.064417	10.451438	28.566313	-3208.481566	-2938.358623
19.89	0.006548	0.064373	10.449994	32.925578	-3342.147723	-2970.140220
20.40	0.006486	0.064285	10.450817	40.486933	-3497.214770	-2952.022926
20.91	0.006440	0.064221	10.451624	47.258725	-3634.499405	-2934.280574
21.42	0.006398	0.064141	10.452000	49.782674	-3683.920511	-2926.001325
21.93	0.006379	0.064104	10.452924	50.261355	-3673.636112	-2905.679839
22.44	0.006363	0.064067	10.452907	41.862616	-3480.682596	-2906.044771
22.95	0.006356	0.064079	10.452787	37.018842	-3371.948761	-2908.685358
