Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.007120	0.041223	10.510738	-152.618429	2309.244182	-1633.766870
1.02	0.007173	0.045006	10.485589	-130.074350	1210.266263	-2187.051776
1.53	0.007195	0.048258	10.464952	-92.293487	-135.384582	-2641.061284
2.04	0.007210	0.050945	10.451041	-55.316953	-1307.395585	-2947.096781
2.55	0.007218	0.053206	10.443422	-31.040591	-2041.946938	-3114.714892
3.06	0.007153	0.055036	10.439161	-20.143076	-2391.070476	-3208.451768
3.57	0.007112	0.056591	10.437479	-22.524271	-2375.051457	-3245.458781
4.08	0.007080	0.057844	10.437139	-25.671105	-2310.453716	-3252.938631
4.59	0.007074	0.058930	10.436710	-12.955831	-2613.055635	-3262.382935
5.10	0.007099	0.059803	10.436976	7.717088	-3082.794389	-3256.521407
5.61	0.007152	0.060540	10.437031	26.816242	-3521.195240	-3255.324109
6.12	0.007163	0.061051	10.436414	32.247378	-3660.437853	-3268.888389
6.63	0.007150	0.061431	10.435778	25.452184	-3518.686809	-3282.884073
7.14	0.007104	0.061655	10.435773	11.065585	-3187.633572	-3282.999825
7.65	0.007083	0.061865	10.436529	3.092466	-2986.650979	-3266.359795
8.16	0.007066	0.061996	10.436231	7.549225	-3096.109639	-3272.908910
8.67	0.007110	0.062170	10.436664	23.689125	-3457.674698	-3263.398572
9.18	0.007165	0.062279	10.437364	41.015776	-3840.371175	-3247.986227
9.69	0.007204	0.062353	10.436306	53.290677	-4147.343176	-3271.269127
10.20	0.007181	0.062299	10.435543	54.057851	-4182.604136	-3288.058692
10.71	0.007142	0.062235	10.435358	49.055028	-4071.707854	-3292.128988
11.22	0.007075	0.062123	10.435763	43.285407	-3929.545070	-3283.211796
11.73	0.007048	0.062097	10.435700	46.179416	-3997.626100	-3284.606363
12.24	0.007048	0.062085	10.434757	53.411559	-4185.852075	-3305.348554
12.75	0.007102	0.062158	10.434494	60.435172	-4353.586882	-3311.123150
13.26	0.007138	0.062173	10.434342	58.944626	-4322.797496	-3314.483270
13.77	0.007153	0.062179	10.434834	52.757681	-4169.026381	-3303.656667
14.28	0.007115	0.062081	10.435959	42.466331	-3906.174730	-3278.904452
14.79	0.007076	0.062003	10.436374	35.801915	-3743.193100	-3269.776492
15.30	0.007023	0.061901	10.436405	30.590094	-3622.491791	-3269.083029
15.81	0.007020	0.061900	10.435909	28.905521	-3595.150049	-3279.992414
16.32	0.007012	0.061904	10.436000	27.233793	-3554.581349	-3278.002469
16.83	0.007005	0.061968	10.436176	25.609118	-3513.125115	-3274.132709
17.34	0.006932	0.061944	10.436118	23.550754	-3467.083076	-3275.411687
17.85	0.006822	0.061917	10.436136	27.098154	-3548.321110	-3275.009240
18.36	0.006679	0.061814	10.435418	30.726718	-3648.417043	-3290.813178
18.87	0.006555	0.061742	10.435482	34.680774	-3737.955954	-3289.399407
19.38	0.006453	0.061655	10.435579	35.823983	-3762.022440	-3287.253308
19.89	0.006417	0.061657	10.436108	38.747440	-3817.136550	-3275.631998
20.40	0.006388	0.061643	10.436836	38.702546	-3799.300061	-3259.603505
20.91	0.006379	0.061672	10.436998	39.030669	-3803.119997	-3256.042236
21.42	0.006342	0.061636	10.437845	46.311837	-3951.208170	-3237.420272
21.93	0.006295	0.061628	10.438622	49.698230	-4011.232923	-3220.317846
22.44	0.006243	0.061567	10.438294	50.451393	-4036.132512	-3227.531303
22.95	0.006224	0.061585	10.438322	49.090480	-4004.161120	-3226.917342
23.46	0.006216	0.061589	10.438002	40.313941	-3809.505484	-3233.954576
23.97	0.006246	0.061665	10.438788	41.370715	-3815.695579	-3216.654102
24.48	0.006266	0.061693	10.439494	35.801993	-3671.244474	-3201.142610
24.99	0.006295	0.061742	10.439564	38.121538	-3723.023793	-3199.601280
25.50	0.006288	0.061703	10.439354	39.050162	-3749.238825	-3204.216685
26.02	0.006280	0.061688	10.439643	38.305223	-3725.413655	-3197.847521
26.53	0.006252	0.061625	10.439698	35.884735	-3668.438320	-3196.648904
27.04	0.006254	0.061625	10.439478	36.400189	-3685.372129	-3201.483532
27.55	0.006259	0.061616	10.439307	32.344011	-3595.939252	-3205.240923
28.06	0.006292	0.061683	10.439083	30.381309	-3555.939629	-3210.183192
28.57	0.006300	0.061694	10.438737	34.752415	-3664.522203	-3217.777430
29.08	0.006309	0.061734	10.439405	37.578946	-3714.198256	-3203.097097
29.59	0.006286	0.061702	10.439778	40.658651	-3776.487860	-3194.889558
30.10	0.006266	0.061709	10.439230	43.199732	-3847.621467	-3206.945769
30.61	0.006238	0.061683	10.438396	41.070142	-3817.830970	-3225.291205
31.12	0.006240	0.061743	10.439312	43.506170	-3852.785398	-3205.142717
31.63	0.006241	0.061773	10.440465	43.019979	-3815.001385	-3179.776432
32.14	0.006269	0.061854	10.440381	40.590223	-3760.988725	-3181.607445
32.65	0.006280	0.061840	10.440231	42.648919	-3811.853325	-3184.921428
33.16	0.006287	0.061829	10.440703	41.016314	-3763.375038	-3174.527409
33.67	0.006272	0.061731	10.442029	41.251842	-3738.211210	-3145.351636
34.18	0.006253	0.061659	10.442931	41.889839	-3732.105358	-3125.517742
34.69	0.006236	0.061566	10.443055	41.281245	-3715.243037	-3122.796527
35.20	0.006250	0.061518	10.443568	38.206055	-3632.611562	-3111.500728
35.71	0.006264	0.061478	10.443318	36.815138	-3606.363206	-3117.004838
36.22	0.006291	0.061459	10.442980	35.931361	-3593.814412	-3124.440953
36.73	0.006286	0.061433	10.442985	35.315020	-3579.499823	-3124.320162
37.24	0.006285	0.061416	10.443487	38.623045	-3644.074216	-3113.278494
37.75	0.006258	0.061393	10.444151	40.640566	-3675.215103	-3098.682088
38.26	0.006251	0.061391	10.443796	42.342807	-3722.581300	-3106.486166
38.77	0.006243	0.061381	10.443821	42.584442	-3727.571384	-3105.940274
39.28	0.006265	0.061390	10.444049	41.316562	-3693.132522	-3100.929697
39.79	0.006276	0.061368	10.443821	38.357202	-3630.253503	-3105.932385
40.30	0.006291	0.061355	10.443911	37.726106	-3613.652310	-3103.954392
40.81	0.006285	0.061297	10.444137	38.053411	-3615.979008	-3098.986696
41.32	0.006275	0.061264	10.445054	40.259170	-3645.610433	-3078.816956
41.83	0.006252	0.061203	10.444885	41.004209	-3666.644477	-3082.521428
42.34	0.006255	0.061200	10.444525	41.903315	-3695.658517	-3090.454987
42.85	0.006262	0.061180	10.445507	39.419683	-3615.842861	-3068.855440
43.36	0.006274	0.061210	10.445654	36.707762	-3550.014660	-3065.611488
43.87	0.006278	0.061199	10.444725	34.660536	-3524.312710	-3086.048415
44.38	0.006289	0.061230	10.445179	35.998159	-3544.645709	-3076.071894
44.89	0.006275	0.061201	10.445218	37.892132	-3587.342385	-3075.211519
45.40	0.006273	0.061202	10.445482	41.465199	-3663.501657	-3069.400801
45.91	0.006259	0.061166	10.446367	42.670796	-3670.846527	-3049.933926
46.42	0.006267	0.061180	10.446681	42.759715	-3665.652760	-3043.027045
46.93	0.006262	0.061162	10.446831	39.783007	-3593.668406	-3039.725041
47.44	0.006274	0.061179	10.446124	37.940175	-3567.550876	-3055.277358
47.95	0.006268	0.061142	10.446362	36.914110	-3538.438653	-3050.037972
48.46	0.006268	0.061125	10.446513	38.853362	-3579.584816	-3046.704316
48.97	0.006245	0.061046	10.447762	40.443514	-3587.392762	-3019.234877
49.48	0.006244	0.060999	10.453489	42.973492	-3513.540084	-2893.231740
49.99	0.006230	0.060911	10.472768	42.582021	-3059.901045	-2469.099292
50.50	0.006236	0.060841	10.506044	42.617158	-2293.277063	-1737.041230
51.01	0.006237	0.060638	10.535261	41.723760	-1598.873939	-1094.264303
51.53	0.006245	0.060322	10.556071	43.714097	-1164.746737	-636.443194
52.04	0.006244	0.059769	10.561998	46.327654	-1088.216753	-506.050891
52.55	0.006251	0.059057	10.565383	49.861283	-1091.481353	-431.571579
53.06	0.006243	0.058132	10.567936	50.998165	-1058.783125	-375.416260
53.57	0.006250	0.057170	10.568875	50.591234	-1027.761381	-354.760093
54.08	0.006244	0.056166	10.569096	45.936874	-915.521191	-349.896691
54.59	0.006252	0.055276	10.569386	41.549154	-807.819185	-343.507244
55.10	0.006242	0.054452	10.569707	36.443168	-682.868573	-336.436362
55.61	0.006255	0.053811	10.569736	34.160786	-629.671601	-335.809345
56.12	0.006242	0.053261	10.569776	33.157690	-605.645921	-334.917669
56.63	0.006249	0.052897	10.570396	33.656122	-602.824713	-321.281655
57.14	0.006230	0.052594	10.570847	32.655553	-569.406412	-311.374845
57.65	0.006229	0.052417	10.570695	31.912967	-555.814797	-314.715851
58.16	0.006218	0.052237	10.570332	28.834615	-493.313408	-322.691669
58.67	0.006221	0.052136	10.570246	27.000969	-453.090002	-324.586587
59.18	0.006222	0.051999	10.570486	24.364561	-386.862774	-319.303845
59.69	0.006230	0.051923	10.570702	24.220313	-378.570622	-314.561408
60.20	0.006227	0.051822	10.570618	23.980744	-374.991825	-316.408171
60.71	0.006237	0.051781	10.570966	25.297156	-397.263761	-308.746959
61.22	0.006223	0.051717	10.570576	24.761488	-393.924199	-317.323828
61.73	0.006229	0.051710	10.570490	24.392325	-387.420114	-319.225850
62.24	0.006226	0.051667	10.570696	22.183770	-331.821255	-314.686514
62.75	0.006236	0.051667	10.570794	21.736609	-319.265620	-312.528648
63.26	0.006236	0.051616	10.570575	20.889304	-304.825581	-317.359815
63.77	0.006242	0.051585	10.570363	21.963126	-334.419747	-322.010256
64.28	0.006260	0.051488	10.570639	22.418278	-338.540205	-315.946300
64.79	0.006379	0.051437	10.570931	23.706476	-361.449232	-309.512339
65.30	0.006692	0.051351	10.571347	22.971659	-334.943937	-300.364335
65.81	0.007384	0.051342	10.571869	22.860749	-320.364245	-288.892117
66.32	0.008577	0.051320	10.571613	21.088984	-285.476596	-294.518048
66.83	0.010211	0.051366	10.571426	20.779018	-282.645871	-298.624209
67.34	0.011897	0.051385	10.571626	20.511701	-271.888490	-294.232593
67.85	0.013196	0.051444	10.570938	21.782333	-317.007029	-309.370131
68.36	0.013715	0.051455	10.571238	22.957218	-337.119686	-302.756896
68.87	0.013494	0.051497	10.571944	24.219888	-349.920477	-287.241217
69.38	0.012654	0.051489	10.571244	23.388121	-346.915542	-302.639216
69.89	0.011551	0.051540	10.570882	22.898206	-343.982958	-310.599627
70.40	0.010400	0.051551	10.571375	21.428286	-298.779232	-299.756902
70.91	0.009412	0.051614	10.571586	22.190812	-311.469971	-295.118684
71.42	0.008599	0.051617	10.571582	22.266894	-313.307358	-295.200727
71.93	0.008006	0.051648	10.571771	24.046666	-349.908117	-291.033143
72.44	0.007544	0.051630	10.571591	24.296637	-359.809036	-294.988655
72.95	0.007221	0.051658	10.571492	24.980221	-377.845940	-297.183632
73.46	0.006954	0.051645	10.571659	23.580600	-341.757788	-293.492629
73.97	0.006770	0.051671	10.572065	23.144636	-322.358119	-284.560330
74.48	0.006617	0.051637	10.572454	22.066010	-288.568683	-276.013509
74.99	0.006518	0.051654	10.572929	22.513279	-287.909813	-265.563614
75.50	0.006426	0.051616	10.572803	22.831504	-298.140671	-268.335118
76.01	0.006379	0.051610	10.571852	24.094968	-349.147781	-289.247195
76.52	0.006321	0.051558	10.571616	23.571406	-342.553346	-294.453399
77.03	0.006293	0.051551	10.571939	23.137032	-325.106116	-287.348638
77.55	0.006248	0.051499	10.571721	22.053060	-305.163475	-292.127716
78.06	0.006241	0.051503	10.572168	21.863038	-290.491236	-282.304413
78.57	0.006214	0.051456	10.572717	20.910367	-255.897166	-270.224252
79.08	0.006212	0.051445	10.572914	21.611852	-267.492947	-265.881904
79.59	0.006201	0.051393	10.572837	21.355162	-263.362063	-267.577998
80.10	0.006201	0.051379	10.572291	22.094923	-292.996677	-279.602495
80.61	0.006191	0.051338	10.571973	21.351359	-283.204763	-286.589559
81.12	0.006199	0.051345	10.572463	21.651582	-278.818339	-275.812856
81.63	0.006194	0.051321	10.573165	20.832107	-243.764900	-260.369697
82.14	0.006211	0.051367	10.573125	21.455358	-259.030707	-261.246126
82.65	0.006210	0.051386	10.572881	21.607090	-268.154233	-266.617283
83.16	0.006234	0.051440	10.572860	23.336721	-308.455660	-267.080805
83.67	0.006232	0.051446	10.572483	23.407038	-318.768430	-275.374147
84.18	0.006243	0.051480	10.572733	24.491380	-337.961769	-269.872179
84.69	0.006234	0.051472	10.573289	24.035657	-314.644099	-257.636354
85.20	0.006250	0.051519	10.573623	24.342740	-314.017612	-250.295643
85.71	0.006244	0.051537	10.573099	24.008499	-318.405957	-261.821160
86.22	0.006265	0.051624	10.572601	24.685750	-345.482239	-272.777899
86.73	0.006224	0.051626	10.573088	24.262030	-324.498622	-262.065808
87.24	0.006208	0.051670	10.573340	25.023159	-336.195047	-256.509779
87.75	0.006128	0.051611	10.573447	24.199393	-314.774033	-254.164887
88.26	0.006057	0.051560	10.573566	24.197367	-311.980958	-251.545050
88.77	0.005980	0.051444	10.573385	22.912287	-286.575004	-255.528698
89.28	0.006017	0.051440	10.573038	23.499525	-308.090252	-263.157294
89.79	0.006141	0.051486	10.573281	23.037181	-291.843142	-257.811496
90.30	0.006301	0.051596	10.573522	24.574012	-321.668615	-252.515562
90.81	0.006301	0.051592	10.572966	24.152587	-324.795998	-264.752682
91.32	0.006301	0.051535	10.572769	24.863468	-345.698188	-269.081464
91.83	0.006301	0.051447	10.573147	24.300897	-324.041713	-260.776501
92.34	0.006301	0.051441	10.572984	24.912113	-341.854009	-264.346304
92.85	0.006301	0.051413	10.572415	24.493377	-345.343224	-276.869528
93.36	0.006301	0.051472	10.572217	24.901534	-359.306009	-281.226155
93.87	0.006301	0.051485	10.572837	24.477373	-335.245207	-267.588395
94.38	0.006301	0.051545	10.573594	25.112694	-332.398881	-250.922536
94.89	0.006301	0.051506	10.573495	24.252671	-314.905296	-253.120192
95.40	0.006301	0.051473	10.572644	24.804771	-347.232332	-271.833788
95.91	0.006301	0.051393	10.572566	23.911623	-328.473661	-273.552051
96.42	0.006301	0.051400	10.573096	24.155128	-321.840240	-261.877366
96.93	0.006301	0.051401	10.573208	23.542739	-305.164315	-259.417299
97.44	0.006301	0.051470	10.573144	24.036081	-318.014716	-260.842279
97.95	0.006301	0.051462	10.572769	23.622615	-317.141817	-269.088747
98.46	0.006301	0.051460	10.571445	22.565837	-323.349101	-298.215237
98.97	0.006301	0.051382	10.567556	15.317966	-246.187452	-383.763220
99.48	0.006301	0.051377	10.562765	-1.232821	24.311305	-489.164685
99.99	0.006301	0.051380	10.557753	-32.744010	634.101217	-599.423587
100.50	0.006301	0.051492	10.550339	-74.624410	1427.172299	-762.542695
101.01	0.004858	0.051583	10.541114	-116.369622	2175.372415	-965.495908
101.52	0.003313	0.051738	10.533901	-147.186001	2718.415536	-1124.167891
102.03	0.002162	0.051841	10.529215	-165.627245	3034.833549	-1227.278464
102.54	0.001340	0.051983	10.526426	-171.690289	3110.083764	-1288.632659
103.06	0.000747	0.052120	10.525041	-168.523857	3005.257575	-1319.096595
103.57	0.000383	0.052312	10.524376	-156.609705	2715.661419	-1333.726112
