Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.007034	0.073684	10.468660	-117.870934	532.025999	-2559.471503
1.02	0.007059	0.077723	10.452029	-104.561016	-157.940380	-2925.367189
1.53	0.007040	0.081111	10.444064	-79.172443	-926.076390	-3100.599304
2.04	0.007063	0.083982	10.441567	-58.299249	-1464.155027	-3155.529790
2.55	0.007079	0.086540	10.441483	-42.402182	-1832.038249	-3157.378624
3.06	0.007068	0.088723	10.441128	-25.477662	-2229.826045	-3165.192196
3.57	0.007064	0.090619	10.440746	-12.955827	-2526.874903	-3173.587029
4.08	0.007048	0.092141	10.439996	-4.414971	-2740.788204	-3190.095036
4.59	0.007056	0.093409	10.440519	11.695372	-3099.573873	-3178.582455
5.10	0.007029	0.094360	10.441371	23.384169	-3349.004249	-3159.846100
5.61	0.007067	0.095123	10.441324	29.543164	-3491.860759	-3160.874935
6.12	0.007043	0.095637	10.440457	28.557491	-3489.154848	-3179.937712
6.63	0.007064	0.096021	10.439561	26.272119	-3457.222596	-3199.660891
7.14	0.007021	0.096229	10.439095	21.257688	-3352.546236	-3209.919291
7.65	0.007056	0.096389	10.439134	22.036926	-3369.575620	-3209.052772
8.16	0.007017	0.096445	10.438703	25.632036	-3462.274609	-3218.535329
8.67	0.007047	0.096492	10.438940	31.549752	-3593.034631	-3213.323396
9.18	0.007039	0.096453	10.439675	33.797061	-3627.807577	-3197.145797
9.69	0.007053	0.096420	10.438798	35.833284	-3694.901007	-3216.434035
10.20	0.007016	0.096308	10.439655	34.082868	-3634.843603	-3197.581585
10.71	0.007032	0.096231	10.439623	35.235171	-3662.127461	-3198.304888
11.22	0.006996	0.096119	10.438352	36.155915	-3712.630945	-3226.262194
11.73	0.007018	0.096084	10.438071	40.079501	-3809.416398	-3232.429991
12.24	0.007001	0.096051	10.437367	42.001412	-3869.894505	-3247.917961
12.75	0.007025	0.096123	10.436846	43.758755	-3922.381993	-3259.397300
13.26	0.007006	0.096170	10.438316	41.667450	-3840.338527	-3227.057677
13.77	0.007020	0.096275	10.439803	41.367691	-3799.142393	-3194.342760
14.28	0.006989	0.096330	10.440402	38.596424	-3721.535408	-3181.166116
14.79	0.007008	0.096424	10.439225	38.175645	-3738.985088	-3207.051172
15.30	0.006972	0.096460	10.438285	35.529698	-3699.759252	-3227.734636
15.81	0.006974	0.096531	10.437508	35.006572	-3705.629183	-3244.821090
16.32	0.006907	0.096535	10.436983	32.859641	-3668.323437	-3256.378481
16.83	0.006865	0.096557	10.437682	33.200855	-3660.056430	-3240.999976
17.34	0.006755	0.096508	10.438117	32.742874	-3639.466552	-3231.415796
17.85	0.006670	0.096493	10.437522	35.164157	-3708.944436	-3244.523191
18.36	0.006553	0.096427	10.437101	34.889433	-3712.316283	-3253.772166
18.87	0.006483	0.096392	10.438226	35.621822	-3703.247281	-3229.038979
19.38	0.006387	0.096300	10.439430	35.000948	-3661.169248	-3202.534041
19.89	0.006350	0.096254	10.439980	37.450167	-3704.882189	-3190.450695
20.40	0.006280	0.096160	10.440312	38.233515	-3715.248697	-3183.138154
20.91	0.006273	0.096095	10.440391	40.571846	-3767.261397	-3181.406934
21.42	0.006224	0.095975	10.440673	40.282411	-3754.086218	-3175.194633
21.93	0.006228	0.095912	10.440675	41.270008	-3776.777470	-3175.153715
22.44	0.006188	0.095812	10.441145	38.153256	-3694.179253	-3164.802268
22.95	0.006203	0.095764	10.441185	37.508019	-3678.402659	-3163.921394
23.46	0.006168	0.095684	10.440677	35.886213	-3652.798023	-3175.109524
23.97	0.006185	0.095669	10.441389	36.734653	-3655.909981	-3159.447513
24.48	0.006162	0.095617	10.441084	36.036577	-3646.877623	-3166.160244
24.99	0.006176	0.095632	10.439473	37.457446	-3716.732270	-3201.594716
25.50	0.006148	0.095608	10.440149	35.727544	-3661.322571	-3186.725295
26.02	0.006174	0.095636	10.440655	36.291735	-3662.632881	-3175.586376
26.53	0.006150	0.095624	10.440467	34.685456	-3629.998207	-3179.727577
27.04	0.006171	0.095664	10.441344	36.112662	-3642.618740	-3160.426962
27.55	0.006147	0.095667	10.441441	35.994983	-3637.670699	-3158.291059
28.06	0.006180	0.095715	10.441577	38.006779	-3680.843384	-3155.297554
28.57	0.006162	0.095710	10.441527	37.518740	-3670.765318	-3156.400671
29.08	0.006183	0.095752	10.440779	38.934149	-3720.601468	-3172.859262
29.59	0.006159	0.095737	10.440348	37.625108	-3700.409952	-3182.343142
30.10	0.006176	0.095758	10.440261	38.561242	-3723.971280	-3184.262249
30.61	0.006148	0.095714	10.440339	37.431181	-3696.143710	-3182.531921
31.12	0.006169	0.095720	10.440998	39.087319	-3719.074213	-3168.039018
31.63	0.006143	0.095668	10.441608	37.697844	-3673.015180	-3154.613948
32.14	0.006166	0.095660	10.441388	39.072810	-3709.750662	-3159.463843
32.65	0.006143	0.095611	10.442169	37.133674	-3647.101587	-3142.283209
33.16	0.006163	0.095601	10.443270	38.249572	-3647.396967	-3118.061446
33.67	0.006136	0.095582	10.443949	35.870222	-3576.969445	-3103.127401
34.18	0.006164	0.095583	10.444086	36.916200	-3597.893230	-3100.118539
34.69	0.006148	0.095614	10.443606	36.840343	-3607.205973	-3110.667719
35.20	0.006172	0.095631	10.443737	35.596119	-3575.547495	-3107.789913
35.71	0.006160	0.095659	10.444016	36.682328	-3594.112553	-3101.647611
36.22	0.006178	0.095667	10.443929	35.512391	-3569.198490	-3103.572112
36.73	0.006152	0.095661	10.443829	34.617869	-3550.894513	-3105.754277
37.24	0.006177	0.095616	10.443946	35.032112	-3557.749651	-3103.197235
37.75	0.006148	0.095544	10.444416	34.967189	-3545.416602	-3092.858306
38.26	0.006172	0.095474	10.445163	35.518870	-3540.879748	-3076.416441
38.77	0.006155	0.095385	10.445301	34.751047	-3520.016238	-3073.374935
39.28	0.006174	0.095333	10.444643	36.011727	-3564.207218	-3087.846197
39.79	0.006152	0.095275	10.443913	33.740224	-3528.762760	-3103.914502
40.30	0.006171	0.095249	10.444195	34.940960	-3549.898563	-3097.709625
40.81	0.006145	0.095189	10.445007	33.594140	-3500.167282	-3079.844927
41.32	0.006162	0.095158	10.445669	35.746812	-3534.448232	-3065.276104
41.83	0.006140	0.095096	10.445615	33.632720	-3487.034438	-3066.470293
42.34	0.006161	0.095078	10.445328	35.630569	-3539.637453	-3072.778669
42.85	0.006137	0.095034	10.445996	33.847923	-3483.201247	-3058.088236
43.36	0.006163	0.095040	10.446096	34.306682	-3491.443710	-3055.877071
43.87	0.006139	0.095007	10.444586	33.422307	-3505.911251	-3089.097335
44.38	0.006163	0.095013	10.444308	35.407032	-3558.031003	-3095.232921
44.89	0.006137	0.094990	10.445219	34.487318	-3515.830703	-3075.173446
45.40	0.006159	0.095024	10.446292	36.525819	-3538.011002	-3051.568775
45.91	0.006135	0.095039	10.446810	35.438379	-3501.046169	-3040.186453
46.42	0.006157	0.095106	10.446047	36.622823	-3545.912669	-3056.976145
46.93	0.006130	0.095124	10.445734	35.382628	-3524.574550	-3063.854516
47.44	0.006156	0.095144	10.446585	36.497302	-3530.612094	-3045.137112
47.95	0.006136	0.095125	10.446766	35.657236	-3507.100824	-3041.156245
48.46	0.006152	0.095137	10.446599	37.356039	-3550.059653	-3044.831597
48.97	0.006125	0.095098	10.448957	36.212807	-3469.358184	-2992.953808
49.48	0.006145	0.095079	10.467238	38.029384	-3089.550147	-2590.763554
49.99	0.006121	0.094938	10.518044	37.374269	-1902.730984	-1473.036094
50.50	0.006139	0.094653	10.555491	39.898408	-1097.192150	-649.202040
