Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.007174	0.066383	10.468238	-120.514397	580.823320	-2568.774295
1.02	0.007202	0.070132	10.448664	-103.920619	-252.586327	-2999.392377
1.53	0.007158	0.073219	10.440868	-80.093399	-980.885027	-3170.908573
2.04	0.007184	0.075901	10.438123	-56.992930	-1575.952648	-3231.293351
2.55	0.007182	0.078246	10.437917	-40.007333	-1971.714409	-3235.833107
3.06	0.007175	0.080308	10.437596	-23.285752	-2364.041948	-3242.894354
3.57	0.007158	0.082037	10.437806	-14.173175	-2568.957770	-3238.265461
4.08	0.007150	0.083469	10.438549	-4.274992	-2779.682430	-3221.926849
4.59	0.007118	0.084604	10.439533	8.778464	-3057.477181	-3200.281456
5.10	0.007129	0.085531	10.440117	23.162095	-3375.106707	-3187.425938
5.61	0.007129	0.086231	10.438965	29.452562	-3546.473481	-3212.763925
6.12	0.007161	0.086765	10.437185	31.991755	-3645.982378	-3251.928918
6.63	0.007162	0.087125	10.436675	27.430813	-3552.756713	-3263.152243
7.14	0.007174	0.087357	10.436675	23.378601	-3459.476696	-3263.152740
7.65	0.007157	0.087454	10.437119	21.003243	-3394.561419	-3253.389189
8.16	0.007156	0.087484	10.437640	26.114214	-3500.180086	-3241.909752
8.67	0.007146	0.087456	10.437488	31.421295	-3625.874808	-3245.274702
9.18	0.007168	0.087429	10.437260	37.833856	-3778.734965	-3250.278117
9.69	0.007160	0.087361	10.436674	38.671524	-3811.524955	-3263.162669
10.20	0.007171	0.087298	10.435927	38.590561	-3826.902962	-3279.609646
10.71	0.007149	0.087213	10.434965	35.186131	-3770.713609	-3300.766747
11.22	0.007144	0.087151	10.434528	36.450468	-3809.901593	-3310.385333
11.73	0.007120	0.087089	10.434656	38.542824	-3855.107531	-3307.562364
12.24	0.007122	0.087085	10.435161	43.713165	-3962.493342	-3296.464941
12.75	0.007112	0.087095	10.434364	44.827756	-4006.518785	-3313.986225
13.26	0.007136	0.087164	10.434117	45.246034	-4021.861067	-3319.436507
13.77	0.007127	0.087221	10.436085	40.747302	-3872.891849	-3276.119731
14.28	0.007140	0.087287	10.437384	38.330407	-3787.315459	-3247.559528
14.79	0.007124	0.087313	10.437533	35.723843	-3723.865351	-3244.270577
15.30	0.007120	0.087321	10.436310	35.892389	-3755.956068	-3271.181033
15.81	0.007082	0.087268	10.435512	35.153734	-3757.360578	-3288.740621
16.32	0.007058	0.087209	10.435039	36.012901	-3788.053823	-3299.152992
16.83	0.006984	0.087116	10.435630	33.839394	-3724.369486	-3286.131268
17.34	0.006914	0.087052	10.436603	33.091043	-3684.712294	-3264.734799
17.85	0.006802	0.086972	10.436368	32.179066	-3669.134727	-3269.900989
18.36	0.006707	0.086928	10.435804	33.142811	-3704.333328	-3282.314640
18.87	0.006595	0.086863	10.436167	33.898130	-3713.340833	-3274.321215
19.38	0.006523	0.086815	10.436950	35.698224	-3736.735501	-3257.110024
19.89	0.006446	0.086763	10.437420	36.731137	-3749.661927	-3246.759327
20.40	0.006413	0.086740	10.438415	38.160037	-3759.617516	-3224.879401
20.91	0.006369	0.086699	10.438856	37.790318	-3740.931659	-3215.173376
21.42	0.006349	0.086684	10.438625	39.935490	-3795.624579	-3220.240331
21.93	0.006317	0.086649	10.438947	38.346548	-3751.620596	-3213.155587
22.44	0.006312	0.086654	10.439097	39.007642	-3763.384775	-3209.860816
22.95	0.006288	0.086657	10.439099	37.619615	-3731.380679	-3209.811039
23.46	0.006294	0.086697	10.439392	37.969476	-3732.680332	-3203.368352
23.97	0.006280	0.086737	10.439338	37.861323	-3731.450012	-3204.569612
24.48	0.006294	0.086791	10.439280	38.697758	-3752.041911	-3205.845423
24.99	0.006287	0.086815	10.439651	37.589873	-3717.973635	-3197.675089
25.50	0.006304	0.086851	10.439061	39.204763	-3768.762731	-3210.662394
26.02	0.006285	0.086852	10.438484	37.279208	-3737.747412	-3223.359161
26.53	0.006296	0.086862	10.438313	37.662593	-3750.500214	-3227.105536
27.04	0.006276	0.086836	10.438328	37.660347	-3750.117724	-3226.789993
27.55	0.006289	0.086818	10.439248	38.705174	-3752.953884	-3206.552515
28.06	0.006276	0.086776	10.439911	38.134508	-3724.526090	-3191.966099
28.57	0.006292	0.086751	10.440158	39.676657	-3754.332018	-3186.534738
29.08	0.006281	0.086705	10.439679	37.781027	-3721.742345	-3197.072620
29.59	0.006300	0.086684	10.438524	38.473347	-3764.296887	-3222.463255
30.10	0.006281	0.086639	10.438564	37.178632	-3733.580739	-3221.593042
30.61	0.006290	0.086615	10.438879	36.858319	-3718.942354	-3214.663029
31.12	0.006273	0.086570	10.439243	37.482285	-3724.918295	-3206.662109
31.63	0.006286	0.086545	10.439744	39.286220	-3754.869802	-3195.621167
32.14	0.006275	0.086506	10.440320	36.143122	-3669.232823	-3182.949569
32.65	0.006295	0.086467	10.440874	39.091508	-3724.342506	-3170.776630
33.16	0.006285	0.086409	10.441834	34.528602	-3597.155112	-3149.646817
33.67	0.006293	0.086360	10.443556	36.537042	-3603.668409	-3111.757409
34.18	0.006283	0.086286	10.443728	34.735042	-3558.240237	-3107.992599
34.69	0.006295	0.086278	10.443290	37.993765	-3643.349376	-3117.621743
35.20	0.006279	0.086225	10.443536	36.310530	-3598.925510	-3112.207019
35.71	0.006291	0.086263	10.442997	38.777909	-3668.156124	-3124.066329
36.22	0.006283	0.086250	10.442875	37.340477	-3637.872473	-3126.742562
36.73	0.006297	0.086307	10.443416	37.676002	-3633.116299	-3114.837974
37.24	0.006287	0.086281	10.443532	37.952370	-3636.803508	-3112.286569
37.75	0.006299	0.086294	10.444288	38.872135	-3640.559948	-3095.673148
38.26	0.006282	0.086238	10.444696	39.044993	-3635.131171	-3086.698883
38.77	0.006297	0.086198	10.443893	40.614970	-3689.785375	-3104.359367
39.28	0.006287	0.086115	10.443821	39.630758	-3668.787683	-3105.941444
39.79	0.006298	0.086049	10.443623	39.357511	-3667.050895	-3110.284822
40.30	0.006287	0.085961	10.443143	37.272169	-3630.122504	-3120.849771
40.81	0.006298	0.085901	10.443703	36.945807	-3609.688189	-3108.523807
41.32	0.006288	0.085846	10.444541	36.090443	-3570.690055	-3090.105875
41.83	0.006302	0.085819	10.445150	36.869145	-3574.559712	-3076.697968
42.34	0.006286	0.085793	10.445959	36.792733	-3554.133602	-3058.891301
42.85	0.006303	0.085784	10.446516	37.314713	-3553.307802	-3046.641627
43.36	0.006285	0.085775	10.445649	36.090846	-3545.130905	-3065.716020
43.87	0.006300	0.085772	10.444114	36.519276	-3590.401057	-3099.491737
44.38	0.006286	0.085772	10.443639	35.916067	-3587.479631	-3109.950582
44.89	0.006293	0.085792	10.444333	37.160813	-3600.106960	-3094.663014
45.40	0.006282	0.085809	10.445640	37.496575	-3577.701056	-3065.917044
45.91	0.006293	0.085844	10.446561	38.943959	-3589.772613	-3045.649679
46.42	0.006275	0.085859	10.446636	38.881291	-3586.618047	-3044.016637
46.93	0.006284	0.085874	10.446143	39.488474	-3611.965731	-3054.863041
47.44	0.006266	0.085862	10.446143	38.182850	-3581.908390	-3054.860826
47.95	0.006280	0.085843	10.446644	38.538079	-3578.521258	-3043.829512
48.46	0.006266	0.085795	10.446461	37.641945	-3562.122086	-3047.864080
48.97	0.006269	0.085740	10.448976	38.265755	-3518.476155	-2992.532035
49.48	0.006256	0.085658	10.465057	38.098249	-3143.740632	-2638.748098
