Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.007054	0.040515	10.502116	-163.253967	2336.802310	-1823.453369
1.02	0.007089	0.044194	10.483972	-136.885495	1311.348180	-2222.625379
1.53	0.007027	0.047293	10.470575	-94.253788	21.021607	-2517.343181
2.04	0.007068	0.049895	10.460604	-52.318491	-1174.285420	-2736.713538
2.55	0.007031	0.052066	10.451509	-32.156700	-1848.159582	-2936.801451
3.06	0.007079	0.053883	10.446082	-27.655356	-2076.942461	-3056.195531
3.57	0.007029	0.055411	10.444348	-38.996557	-1855.863523	-3094.343747
4.08	0.007076	0.056694	10.442996	-38.475017	-1899.042495	-3124.080116
4.59	0.007006	0.057738	10.442734	-21.444879	-2297.114487	-3129.845562
5.10	0.007050	0.058603	10.442333	7.987063	-2983.891307	-3138.682139
5.61	0.007001	0.059272	10.442723	25.400221	-3375.724587	-3130.085857
6.12	0.007046	0.059776	10.442392	28.165806	-3447.021018	-3137.367603
6.63	0.006989	0.060153	10.441213	10.322435	-3063.477404	-3163.318291
7.14	0.007054	0.060457	10.442335	-4.096631	-2705.678147	-3138.633809
7.65	0.007010	0.060708	10.441707	-11.954164	-2539.273009	-3152.439281
8.16	0.007075	0.060921	10.441946	0.135047	-2812.047490	-3147.178482
8.67	0.007028	0.061060	10.443080	17.859908	-3193.919547	-3122.235588
9.18	0.007091	0.061143	10.443256	38.070082	-3655.105178	-3118.376410
9.69	0.007020	0.061134	10.440838	43.792503	-3842.602237	-3171.574629
10.20	0.007050	0.061091	10.439588	44.997422	-3899.161848	-3199.068840
10.71	0.006987	0.061057	10.439427	36.754324	-3713.122383	-3202.611483
11.22	0.007043	0.061052	10.438665	36.142892	-3716.616737	-3219.370931
11.73	0.006991	0.061055	10.438258	36.445789	-3732.963586	-3228.313086
12.24	0.007051	0.061052	10.439444	46.937536	-3947.139412	-3202.232764
12.75	0.006992	0.061023	10.439362	50.212743	-4024.416795	-3204.029199
13.26	0.007028	0.060972	10.439377	54.167391	-4115.116054	-3203.709262
13.77	0.006949	0.060902	10.439870	46.760343	-3933.236721	-3192.861805
14.28	0.006995	0.060881	10.441382	41.483486	-3776.883203	-3159.587628
14.79	0.006943	0.060899	10.440902	29.147812	-3504.009460	-3170.165724
15.30	0.007001	0.060948	10.440592	23.028865	-3370.297084	-3176.980123
15.81	0.006938	0.060993	10.441625	15.860551	-3181.461613	-3154.254923
16.32	0.006952	0.061021	10.440723	18.538333	-3263.902758	-3174.095698
16.83	0.006827	0.061028	10.440688	19.219044	-3280.388736	-3174.874306
17.34	0.006774	0.061020	10.440592	25.320580	-3423.046249	-3176.975033
17.85	0.006619	0.061005	10.439215	25.846781	-3466.918649	-3207.270530
18.36	0.006582	0.061030	10.439035	27.979799	-3520.161207	-3211.220842
18.87	0.006451	0.061069	10.438948	22.100990	-3386.853561	-3213.148246
19.38	0.006441	0.061124	10.439706	24.219655	-3418.147661	-3196.476992
19.89	0.006326	0.061141	10.441010	26.211030	-3433.909518	-3167.784559
20.40	0.006323	0.061111	10.441844	37.765929	-3680.656815	-3149.429015
20.91	0.006219	0.061025	10.441436	41.930689	-3785.951255	-3158.417758
21.42	0.006224	0.060919	10.441935	50.600766	-3974.025046	-3147.439820
21.93	0.006146	0.060823	10.442750	46.694000	-3865.283669	-3129.497861
22.44	0.006182	0.060770	10.443249	41.764535	-3740.300736	-3118.519991
22.95	0.006127	0.060740	10.442828	32.602917	-3539.122759	-3127.791310
23.46	0.006171	0.060730	10.442891	32.748642	-3541.010027	-3126.391677
23.97	0.006118	0.060716	10.442446	31.631073	-3525.557391	-3136.191539
24.48	0.006162	0.060699	10.441923	37.427942	-3671.067851	-3147.703769
24.99	0.006107	0.060654	10.442127	36.160068	-3637.173960	-3143.212919
25.50	0.006152	0.060622	10.441774	36.418655	-3651.270064	-3150.981063
26.02	0.006102	0.060596	10.443172	27.813131	-3420.911565	-3120.205906
