Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.007209	0.042976	10.508395	-149.322013	2170.113032	-1685.316766
1.02	0.007317	0.046750	10.481352	-125.889223	1007.009945	-2280.256191
1.53	0.007255	0.049933	10.461751	-91.366230	-239.767453	-2711.487983
2.04	0.007314	0.052621	10.449543	-55.144933	-1355.106162	-2980.047393
2.55	0.007268	0.054832	10.441258	-31.232102	-2096.660143	-3162.327983
3.06	0.007218	0.056692	10.437180	-18.394935	-2486.215797	-3252.041281
3.57	0.007187	0.058233	10.435532	-21.995068	-2441.351751	-3288.298992
4.08	0.007179	0.059522	10.434705	-22.297099	-2453.472837	-3306.493546
4.59	0.007154	0.060563	10.434825	-11.857144	-2691.022174	-3303.846590
5.10	0.007198	0.061418	10.434827	9.279482	-3177.548677	-3303.816636
5.61	0.007206	0.062074	10.434785	25.026280	-3540.992087	-3304.730011
6.12	0.007221	0.062563	10.434224	32.953244	-3736.415943	-3317.081030
6.63	0.007187	0.062872	10.433827	23.521408	-3528.452220	-3325.813009
7.14	0.007173	0.063091	10.433968	10.860374	-3233.745107	-3322.708576
7.65	0.007141	0.063230	10.433755	1.327360	-3019.196354	-3327.380761
8.16	0.007155	0.063353	10.434452	7.115692	-3136.368438	-3312.048328
8.67	0.007177	0.063447	10.435600	20.772845	-3424.279753	-3286.796871
9.18	0.007241	0.063528	10.435593	39.575233	-3857.277532	-3286.962119
9.69	0.007239	0.063517	10.435201	49.606030	-4097.223375	-3295.585734
10.20	0.007241	0.063452	10.435153	51.817650	-4149.232157	-3296.633165
10.71	0.007183	0.063333	10.435195	44.061518	-3969.711898	-3295.701445
11.22	0.007151	0.063230	10.434282	40.411166	-3906.736806	-3315.785670
11.73	0.007118	0.063162	10.433900	41.169790	-3933.021816	-3324.200785
12.24	0.007143	0.063178	10.433234	50.946856	-4173.445523	-3338.851797
12.75	0.007164	0.063232	10.432354	56.294374	-4316.840814	-3358.213466
13.26	0.007209	0.063319	10.432871	58.131306	-4347.193606	-3346.830753
13.77	0.007194	0.063348	10.434084	49.192731	-4113.460419	-3320.149777
14.28	0.007174	0.063381	10.434609	41.346537	-3920.743740	-3308.607547
14.79	0.007120	0.063404	10.435050	33.150865	-3721.904710	-3298.899231
15.30	0.007106	0.063461	10.434792	30.614431	-3669.476959	-3304.584583
15.81	0.007085	0.063526	10.434146	28.840537	-3643.527503	-3318.783446
16.32	0.007094	0.063602	10.433646	30.047711	-3682.858654	-3329.793801
16.83	0.007057	0.063618	10.433335	26.493660	-3608.221758	-3336.639176
17.34	0.006990	0.063589	10.433301	26.231042	-3602.952271	-3337.379292
17.85	0.006852	0.063489	10.434164	26.260880	-3583.737229	-3318.394765
18.36	0.006735	0.063390	10.434807	30.189974	-3659.340757	-3304.236077
18.87	0.006591	0.063287	10.434413	32.074315	-3711.814461	-3312.913589
19.38	0.006525	0.063231	10.435138	35.616708	-3776.650229	-3296.974872
19.89	0.006471	0.063199	10.435803	37.154520	-3796.699250	-3282.331578
20.40	0.006469	0.063186	10.436293	37.783867	-3799.887179	-3271.552998
20.91	0.006428	0.063145	10.436880	39.830306	-3833.454683	-3258.636344
21.42	0.006402	0.063093	10.437748	47.446370	-3988.750109	-3239.535586
21.93	0.006337	0.063000	10.437943	45.752090	-3945.251223	-3235.245722
22.44	0.006303	0.062925	10.438158	50.724325	-4054.767970	-3230.531153
22.95	0.006267	0.062857	10.437847	44.871166	-3927.184722	-3237.355837
23.46	0.006280	0.062818	10.438005	38.885240	-3785.767171	-3233.899279
23.97	0.006294	0.062794	10.438618	37.734085	-3745.111793	-3220.395618
24.48	0.006330	0.062788	10.438797	33.750031	-3649.290339	-3216.475185
24.99	0.006329	0.062771	10.437506	33.314379	-3669.034316	-3244.875347
25.50	0.006341	0.062759	10.437195	37.197942	-3765.586937	-3251.699897
26.02	0.006300	0.062750	10.437400	35.506564	-3721.930074	-3247.195639
26.53	0.006313	0.062773	10.437934	34.672649	-3690.417528	-3235.447240
27.04	0.006290	0.062806	10.437685	33.145259	-3661.007110	-3240.931784
27.55	0.006326	0.062877	10.437490	31.190655	-3620.514634	-3245.226128
28.06	0.006336	0.062936	10.437719	28.961923	-3563.930873	-3240.190356
28.57	0.006360	0.062973	10.437473	34.491317	-3696.875947	-3245.589750
29.08	0.006343	0.062968	10.437721	34.308109	-3686.952816	-3240.147006
29.59	0.006342	0.062944	10.437305	40.882420	-3847.880882	-3249.294658
30.10	0.006298	0.062886	10.436857	38.444017	-3802.066170	-3259.135598
30.61	0.006299	0.062858	10.437600	36.558203	-3741.538191	-3242.807437
31.12	0.006285	0.062839	10.437793	37.733247	-3764.135513	-3238.560853
31.63	0.006313	0.062865	10.438080	36.573928	-3730.816256	-3232.234430
32.14	0.006315	0.062883	10.438679	34.283971	-3664.302457	-3219.070745
32.65	0.006335	0.062884	10.439376	40.697761	-3795.850829	-3203.717762
33.16	0.006311	0.062857	10.439552	35.292709	-3667.376745	-3199.852890
33.67	0.006319	0.062820	10.440212	39.174135	-3741.507876	-3185.336395
34.18	0.006289	0.062759	10.440820	36.927419	-3675.764485	-3171.958113
34.69	0.006307	0.062751	10.440982	37.941220	-3695.366212	-3168.394665
35.20	0.006311	0.062746	10.441138	32.401291	-3564.247007	-3164.968302
35.71	0.006345	0.062803	10.441015	35.870925	-3646.944043	-3167.665236
36.22	0.006347	0.062812	10.441966	32.917174	-3557.019777	-3146.746169
36.73	0.006363	0.062838	10.441685	35.405433	-3620.776380	-3152.925313
37.24	0.006335	0.062795	10.441748	37.729564	-3672.835568	-3151.550235
37.75	0.006333	0.062762	10.442040	39.154997	-3698.904810	-3145.117357
38.26	0.006310	0.062684	10.442563	39.105773	-3685.709189	-3133.610885
38.77	0.006327	0.062643	10.442923	40.187190	-3702.299738	-3125.690321
39.28	0.006323	0.062568	10.442038	37.437949	-3659.419977	-3145.156484
39.79	0.006347	0.062522	10.441900	36.719887	-3646.072319	-3148.191708
40.30	0.006328	0.062449	10.441768	35.501567	-3621.082625	-3151.106472
40.81	0.006341	0.062402	10.441912	37.024691	-3652.815245	-3147.930750
41.32	0.006305	0.062345	10.442884	37.399537	-3639.028687	-3126.548602
41.83	0.006311	0.062320	10.443335	38.932109	-3663.920120	-3116.639582
42.34	0.006291	0.062302	10.443442	38.083843	-3641.925772	-3114.285762
42.85	0.006312	0.062318	10.444272	37.017593	-3598.236087	-3096.023286
43.36	0.006313	0.062335	10.444329	33.827664	-3523.472628	-3094.752312
43.87	0.006331	0.062347	10.444322	33.984800	-3527.267265	-3094.921564
44.38	0.006321	0.062341	10.444180	33.854128	-3527.538538	-3098.049686
44.89	0.006321	0.062346	10.444183	36.868650	-3596.846922	-3097.968718
45.40	0.006305	0.062347	10.445223	38.591291	-3612.511551	-3075.084552
45.91	0.006319	0.062368	10.445511	40.455600	-3648.785436	-3068.748838
46.42	0.006309	0.062384	10.445211	39.190251	-3626.582009	-3075.354139
46.93	0.006327	0.062416	10.444986	38.303737	-3611.363272	-3080.303479
47.44	0.006318	0.062418	10.445385	35.981023	-3548.693747	-3071.526175
47.95	0.006332	0.062426	10.446022	36.763855	-3552.037651	-3057.526087
48.46	0.006308	0.062418	10.446100	37.778021	-3573.567171	-3055.793563
48.97	0.006305	0.062420	10.446421	40.628080	-3631.770754	-3048.731037
49.48	0.006284	0.062415	10.451435	41.370523	-3533.236976	-2938.436196
49.99	0.006295	0.062380	10.474354	42.258793	-3025.096380	-2434.213140
50.50	0.006286	0.062262	10.510224	41.079968	-2170.680354	-1645.066669
51.01	0.006307	0.062025	10.541151	41.609220	-1469.601254	-964.682143
51.53	0.006299	0.061579	10.557922	42.470846	-1102.639257	-595.715148
52.04	0.006312	0.060930	10.562832	46.066789	-1072.170733	-487.689296
52.55	0.006299	0.060085	10.565364	47.349292	-1043.313466	-432.000287
53.06	0.006309	0.059129	10.566764	49.512771	-1060.828198	-401.200769
53.57	0.006290	0.058121	10.568012	46.699674	-967.280831	-373.737040
54.08	0.006307	0.057152	10.568779	43.498704	-875.914835	-356.871267
54.59	0.006295	0.056265	10.569201	37.662646	-731.827103	-347.576744
55.10	0.006316	0.055509	10.569469	34.979791	-663.891532	-341.684296
55.61	0.006299	0.054874	10.569827	32.213442	-591.948490	-333.802525
56.12	0.006312	0.054383	10.569762	32.679123	-604.166482	-335.231660
56.63	0.006295	0.054001	10.569633	32.018658	-591.936231	-338.068019
57.14	0.006304	0.053721	10.570135	32.230179	-585.243395	-327.038985
57.65	0.006280	0.053503	10.570678	29.951317	-520.250130	-315.082141
58.16	0.006289	0.053354	10.570923	28.110621	-472.230023	-309.694566
58.67	0.006272	0.053225	10.570928	25.160749	-404.208434	-309.583380
59.18	0.006291	0.053127	10.570855	24.533996	-391.460052	-311.185236
59.69	0.006280	0.053054	10.570458	23.358623	-373.553189	-319.913304
60.20	0.006294	0.053003	10.570581	25.391684	-417.518982	-317.209392
60.71	0.006278	0.052975	10.570994	24.393786	-385.042414	-308.142240
61.22	0.006290	0.052948	10.570767	25.581192	-417.607413	-313.132424
61.73	0.006270	0.052920	10.570442	23.273452	-371.975606	-320.278672
62.24	0.006294	0.052909	10.570788	22.657577	-349.809456	-312.658000
62.75	0.006271	0.052896	10.570923	21.212401	-313.426362	-309.685987
63.26	0.006292	0.052916	10.571012	22.316589	-336.788723	-307.725067
63.77	0.006277	0.052934	10.571248	22.471917	-334.937610	-302.548492
64.28	0.006320	0.052969	10.571423	25.226009	-394.295099	-298.693980
64.79	0.006393	0.052988	10.571150	25.309772	-402.521090	-304.701486
65.30	0.006687	0.052998	10.570805	26.192657	-430.803684	-312.293501
65.81	0.007267	0.052974	10.570826	24.395236	-388.950277	-311.838121
66.32	0.008325	0.052940	10.571529	24.068535	-365.201211	-296.357660
66.83	0.009722	0.052893	10.571666	22.580231	-327.788579	-293.350583
67.34	0.011214	0.052864	10.571365	23.749793	-361.661118	-299.979862
67.85	0.012313	0.052821	10.571614	23.006953	-338.796950	-294.481307
68.36	0.012797	0.052798	10.572182	24.601723	-362.429695	-282.005851
68.87	0.012584	0.052780	10.572274	23.444968	-333.669565	-279.972100
69.38	0.011887	0.052761	10.572297	23.081872	-324.784707	-279.469863
69.89	0.010916	0.052744	10.572289	21.012565	-277.322667	-279.634591
70.40	0.009950	0.052739	10.571589	20.876904	-290.344419	-295.035028
70.91	0.009085	0.052721	10.571362	19.824943	-271.363448	-300.028536
71.42	0.008431	0.052713	10.571736	21.357215	-298.028957	-291.818404
71.93	0.007915	0.052679	10.572225	21.261665	-284.551482	-281.060321
72.44	0.007575	0.052661	10.572594	22.459423	-303.600760	-272.930476
72.95	0.007306	0.052650	10.572989	21.421221	-270.601701	-264.249928
73.46	0.007134	0.052653	10.572881	21.672605	-278.867929	-266.615101
73.97	0.006986	0.052651	10.572715	20.285157	-250.768436	-270.277208
74.48	0.006903	0.052661	10.572234	21.393714	-287.380641	-280.859456
74.99	0.006808	0.052662	10.572173	20.666726	-272.048338	-282.197521
75.50	0.006763	0.052664	10.572534	22.755892	-311.799426	-274.241180
76.01	0.006701	0.052655	10.573038	22.337027	-290.556241	-263.174885
76.52	0.006674	0.052665	10.573155	23.571441	-316.256859	-260.584868
77.03	0.006640	0.052671	10.573117	22.423601	-290.716318	-261.426530
