Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.007001	0.037221	10.503383	-152.985603	2092.829192	-1795.568286
1.02	0.006995	0.040617	10.475845	-130.256289	934.484924	-2401.415550
1.53	0.007048	0.043505	10.454889	-93.533784	-394.162829	-2862.445747
2.04	0.007046	0.045891	10.443640	-53.371497	-1578.107915	-3109.910647
2.55	0.007038	0.047863	10.437994	-26.169929	-2334.512685	-3234.141519
3.06	0.006963	0.049472	10.434319	-15.413944	-2666.865662	-3314.988658
3.57	0.006936	0.050834	10.431993	-20.929939	-2593.530375	-3366.157117
4.08	0.006912	0.051967	10.430383	-25.389300	-2528.010452	-3401.578510
4.59	0.006917	0.052936	10.429104	-15.323361	-2789.210808	-3429.705256
5.10	0.006956	0.053733	10.431092	7.037081	-3258.097440	-3385.975292
5.61	0.006990	0.054373	10.432662	27.341626	-3689.282109	-3351.425792
6.12	0.006997	0.054811	10.431571	36.154340	-3917.328740	-3375.446037
6.63	0.006975	0.055092	10.431139	28.443022	-3749.764734	-3384.935405
7.14	0.006939	0.055251	10.431448	12.918562	-3385.282098	-3378.148485
7.65	0.006925	0.055369	10.431964	0.446414	-3086.279774	-3366.799164
8.16	0.006921	0.055460	10.432505	4.097637	-3157.855963	-3354.900413
8.67	0.006967	0.055573	10.431604	20.865118	-3564.618035	-3374.722944
9.18	0.007027	0.055658	10.430721	41.908661	-4069.392083	-3394.143382
9.69	0.007049	0.055699	10.430335	54.990754	-4379.429258	-3402.625379
10.20	0.007028	0.055646	10.430266	55.911582	-4402.219390	-3404.144940
10.71	0.006973	0.055540	10.430206	46.847016	-4194.932678	-3405.457993
11.22	0.006911	0.055406	10.429431	40.269926	-4061.404488	-3422.508264
11.73	0.006881	0.055318	10.428039	42.216704	-4138.332026	-3453.141363
12.24	0.006896	0.055274	10.427890	52.119950	-4369.735509	-3456.417221
12.75	0.006951	0.055287	10.428856	58.308260	-4489.921254	-3435.176579
13.26	0.007001	0.055294	10.428866	57.793315	-4477.830275	-3434.950398
13.77	0.006996	0.055278	10.430124	50.017448	-4269.814541	-3407.270031
14.28	0.006956	0.055226	10.431239	39.931001	-4011.914469	-3382.741790
14.79	0.006909	0.055204	10.431318	32.824679	-3846.514552	-3381.010619
15.30	0.006868	0.055218	10.430843	29.145624	-3772.775499	-3391.457339
15.81	0.006862	0.055330	10.429727	28.505089	-3783.754038	-3415.995065
16.32	0.006872	0.055462	10.430248	27.810246	-3755.745351	-3404.535192
16.83	0.006860	0.055606	10.431207	25.253913	-3674.799614	-3383.454063
17.34	0.006789	0.055651	10.429984	24.949411	-3695.985323	-3410.349642
17.85	0.006666	0.055628	10.429880	27.296387	-3752.408058	-3412.635348
18.36	0.006520	0.055518	10.430678	31.639321	-3833.990506	-3395.092632
18.87	0.006396	0.055418	10.430674	36.545675	-3947.016304	-3395.172015
19.38	0.006313	0.055318	10.431032	36.500330	-3937.713035	-3387.293286
19.89	0.006282	0.055286	10.430910	39.061994	-3999.492701	-3389.974741
20.40	0.006268	0.055259	10.431455	35.348287	-3901.438850	-3377.988373
20.91	0.006255	0.055242	10.432241	40.340838	-3998.228952	-3360.687671
21.42	0.006216	0.055170	10.432644	45.925597	-4117.496094	-3351.823876
21.93	0.006154	0.055082	10.432950	48.799470	-4176.601535	-3345.098726
22.44	0.006108	0.054986	10.432915	54.379925	-4305.870254	-3345.870010
22.95	0.006078	0.054934	10.433705	43.346352	-4033.653194	-3328.482246
23.46	0.006075	0.054920	10.434052	41.291535	-3978.355759	-3320.854586
23.97	0.006109	0.054958	10.434001	34.658828	-3826.851548	-3321.978694
24.48	0.006136	0.055002	10.434774	32.777641	-3765.723625	-3304.976636
24.99	0.006162	0.055037	10.434698	33.316500	-3779.878024	-3306.646022
25.50	0.006154	0.055032	10.433985	38.218013	-3909.158272	-3322.336900
26.02	0.006132	0.055024	10.433890	36.629672	-3874.768180	-3324.409713
26.53	0.006112	0.055014	10.433780	35.150664	-3843.263939	-3326.834549
27.04	0.006105	0.055050	10.433196	34.724646	-3846.928685	-3339.685114
27.55	0.006118	0.055094	10.433236	28.462627	-3701.849018	-3338.797850
28.06	0.006156	0.055157	10.433709	33.214875	-3800.345654	-3328.401737
28.57	0.006173	0.055154	10.433363	33.620375	-3817.662619	-3336.016280
29.08	0.006181	0.055116	10.433733	38.500064	-3921.455863	-3327.874191
29.59	0.006156	0.055016	10.434167	42.420745	-4001.710231	-3318.336690
30.10	0.006121	0.054923	10.433406	44.271481	-4061.860087	-3335.074429
30.61	0.006095	0.054834	10.433373	38.508783	-3929.966896	-3335.801459
31.12	0.006091	0.054806	10.433931	45.659380	-4081.694480	-3323.518297
31.63	0.006108	0.054792	10.433893	34.747050	-3831.373999	-3324.355465
32.14	0.006140	0.054826	10.433525	41.421765	-3993.511275	-3332.451840
32.65	0.006146	0.054807	10.434614	36.855846	-3863.284813	-3308.489192
33.16	0.006143	0.054830	10.435412	42.359320	-3971.566707	-3290.931451
33.67	0.006129	0.054773	10.436656	36.829110	-3815.570701	-3263.561558
34.18	0.006105	0.054810	10.437295	43.701966	-3959.050740	-3249.509821
34.69	0.006097	0.054799	10.436829	36.868247	-3812.493059	-3259.766391
35.20	0.006123	0.054916	10.436528	37.990852	-3845.280837	-3266.392002
35.71	0.006137	0.054958	10.436726	35.434639	-3781.866164	-3262.031201
36.22	0.006163	0.055056	10.437451	36.217092	-3783.156920	-3246.080915
36.73	0.006164	0.055009	10.437746	36.316591	-3778.650457	-3239.597327
37.24	0.006147	0.054990	10.438370	40.219893	-3854.098625	-3225.856799
37.75	0.006122	0.054860	10.438493	40.797677	-3864.568793	-3223.157038
38.26	0.006112	0.054799	10.438351	41.737852	-3889.487375	-3226.282103
38.77	0.006113	0.054700	10.438133	40.760248	-3872.006138	-3231.073435
39.28	0.006135	0.054687	10.438442	38.544125	-3813.874041	-3224.283831
39.79	0.006145	0.054638	10.438414	36.326253	-3763.457507	-3224.892543
40.30	0.006159	0.054640	10.438404	35.971691	-3755.530832	-3225.116917
40.81	0.006147	0.054595	10.439001	36.842778	-3761.806021	-3211.975017
41.32	0.006130	0.054578	10.439546	38.688137	-3791.729530	-3199.997760
41.83	0.006108	0.054537	10.439520	39.162436	-3803.244550	-3200.567087
42.34	0.006105	0.054540	10.439072	39.403903	-3819.133433	-3210.421292
42.85	0.006107	0.054538	10.439362	36.917817	-3755.208478	-3204.033847
43.36	0.006128	0.054562	10.440231	33.838399	-3664.276009	-3184.912518
43.87	0.006135	0.054556	10.440330	32.629524	-3634.178888	-3182.747869
44.38	0.006140	0.054560	10.439224	33.759433	-3685.688103	-3207.071597
44.89	0.006129	0.054528	10.439545	36.492604	-3741.207649	-3200.015454
45.40	0.006119	0.054517	10.440165	39.808735	-3803.232081	-3186.363381
45.91	0.006114	0.054505	10.440792	41.386383	-3825.105905	-3172.586044
46.42	0.006114	0.054522	10.441204	40.673902	-3799.193877	-3163.513491
46.93	0.006124	0.054528	10.440678	37.717129	-3743.262427	-3175.086699
47.44	0.006138	0.054539	10.441131	35.075119	-3671.989720	-3165.114053
47.95	0.006139	0.054507	10.442006	35.130798	-3653.095528	-3145.868166
48.46	0.006133	0.054472	10.441947	37.029120	-3698.145107	-3147.156755
48.97	0.006110	0.054408	10.443058	39.145156	-3721.234843	-3122.717034
49.48	0.006099	0.054354	10.448516	41.040475	-3638.993329	-3002.647958
49.99	0.006091	0.054269	10.466959	40.757700	-3207.131138	-2596.901754
