Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.007064	0.040782	10.505342	-152.006101	2124.665158	-1752.474760
1.02	0.007132	0.044404	10.477103	-128.691742	936.700487	-2373.730329
1.53	0.007128	0.047445	10.456090	-93.504211	-357.923857	-2836.011256
2.04	0.007170	0.049946	10.444319	-55.759766	-1498.276246	-3094.985224
2.55	0.007167	0.051983	10.437204	-30.321723	-2247.952251	-3251.521949
3.06	0.007165	0.053644	10.432939	-19.126755	-2604.014047	-3345.345628
3.57	0.007093	0.055020	10.430937	-24.924855	-2516.709182	-3389.383052
4.08	0.007077	0.056196	10.430731	-27.238171	-2468.206879	-3393.913577
4.59	0.007037	0.057218	10.430883	-17.246318	-2694.709260	-3390.568551
5.10	0.007070	0.058091	10.430620	4.093456	-3192.010323	-3396.355681
5.61	0.007093	0.058791	10.430487	22.534152	-3619.579341	-3399.284649
6.12	0.007148	0.059318	10.431170	31.251720	-3804.494792	-3384.251120
6.63	0.007131	0.059678	10.431361	23.386024	-3619.029363	-3380.054122
7.14	0.007131	0.059922	10.430919	10.125213	-3323.963316	-3389.777556
7.65	0.007077	0.060104	10.430590	-0.881659	-3078.192203	-3397.030392
8.16	0.007073	0.060267	10.430158	4.019315	-3200.969678	-3406.530072
8.67	0.007065	0.060424	10.429812	19.684322	-3569.553649	-3414.143059
9.18	0.007131	0.060564	10.430059	40.649457	-4046.448957	-3408.691561
9.69	0.007156	0.060634	10.430148	52.643783	-4320.502734	-3406.734634
10.20	0.007181	0.060628	10.429116	54.465123	-4386.242709	-3429.450307
10.71	0.007137	0.060566	10.429082	45.273790	-4175.445449	-3430.198239
11.22	0.007103	0.060478	10.429437	39.922455	-4044.074007	-3422.390009
11.73	0.007032	0.060400	10.429048	41.643395	-4092.656264	-3430.943511
12.24	0.007034	0.060360	10.428826	52.557161	-4349.001001	-3435.821367
12.75	0.007045	0.060354	10.428817	58.541733	-4486.976100	-3436.023871
13.26	0.007107	0.060346	10.428449	58.458277	-4493.540371	-3444.118153
13.77	0.007110	0.060308	10.429309	48.355282	-4241.145937	-3425.205117
14.28	0.007121	0.060256	10.430810	38.560038	-3981.036201	-3392.174667
14.79	0.007067	0.060210	10.431437	30.267999	-3775.692655	-3378.377722
15.30	0.007047	0.060208	10.430886	28.049983	-3737.348426	-3390.505420
15.81	0.006998	0.060258	10.430780	27.554853	-3728.407856	-3392.849306
16.32	0.006997	0.060345	10.430370	29.444264	-3781.339643	-3401.852451
