Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.007077	0.041761	10.508624	-152.335945	2242.490559	-1680.261248
1.02	0.007101	0.045607	10.482638	-129.252711	1111.802671	-2251.955397
1.53	0.007146	0.048831	10.461525	-92.546853	-220.091757	-2716.448173
2.04	0.007153	0.051473	10.448046	-54.551938	-1405.595827	-3012.992570
2.55	0.007106	0.053647	10.441010	-28.100616	-2176.755908	-3167.772932
3.06	0.007113	0.055461	10.437830	-15.491645	-2540.356520	-3237.738447
3.57	0.007075	0.056987	10.436079	-22.029105	-2430.260798	-3276.270844
4.08	0.007076	0.058300	10.435622	-26.840301	-2330.037710	-3286.314504
4.59	0.007065	0.059387	10.435447	-16.554776	-2570.835902	-3290.157719
5.10	0.007108	0.060276	10.435692	5.809909	-3080.029460	-3284.783568
5.61	0.007095	0.060968	10.435604	26.203600	-3551.511874	-3286.716767
6.12	0.007116	0.061480	10.435999	35.736839	-3761.849432	-3278.022544
6.63	0.007082	0.061841	10.436273	27.451081	-3564.784695	-3271.984880
7.14	0.007088	0.062123	10.435578	11.884377	-3222.473694	-3287.275218
7.65	0.007051	0.062337	10.435104	0.591826	-2973.464558	-3297.712402
8.16	0.007079	0.062519	10.435108	5.608460	-3088.854632	-3297.625474
8.67	0.007085	0.062679	10.434757	22.486892	-3485.484338	-3305.346365
9.18	0.007141	0.062784	10.435223	44.031147	-3970.687772	-3295.103377
9.69	0.007140	0.062793	10.435771	57.345605	-4264.544242	-3283.048110
10.20	0.007140	0.062718	10.434692	58.789161	-4322.653040	-3306.779976
10.71	0.007081	0.062606	10.435231	48.792642	-4080.094941	-3294.911819
11.22	0.007057	0.062497	10.435347	41.419539	-3907.694427	-3292.360867
11.73	0.007014	0.062417	10.434233	41.626829	-3938.153565	-3316.864211
12.24	0.007040	0.062393	10.433076	51.622319	-4194.945191	-3342.332386
12.75	0.007061	0.062413	10.432271	59.894301	-4403.913658	-3360.027581
13.26	0.007113	0.062424	10.433023	61.969356	-4434.344432	-3343.490425
