Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.006912	0.080751	10.474899	-118.007737	665.245263	-2422.221812
1.02	0.006890	0.085284	10.457422	-104.651651	-45.283520	-2806.718314
1.53	0.006908	0.089031	10.449474	-80.641976	-781.287128	-2981.577795
2.04	0.006900	0.092213	10.445439	-60.385638	-1340.645350	-3070.352265
2.55	0.006915	0.095045	10.443733	-45.742745	-1717.047015	-3107.866740
3.06	0.006906	0.097501	10.444038	-29.167868	-2091.561456	-3101.157393
3.57	0.006906	0.099607	10.442982	-15.770707	-2424.327379	-3124.402025
4.08	0.006886	0.101321	10.442676	-4.978965	-2679.805443	-3131.132640
4.59	0.006879	0.102716	10.443858	11.297358	-3027.204592	-3105.113692
5.10	0.006869	0.103755	10.443661	23.491471	-3312.474428	-3109.468787
5.61	0.006876	0.104558	10.443181	28.371110	-3435.861444	-3120.018384
6.12	0.006876	0.105108	10.442417	27.122362	-3424.733290	-3136.823902
6.63	0.006886	0.105521	10.441715	24.692989	-3385.002018	-3152.269596
7.14	0.006882	0.105791	10.441454	21.632290	-3320.562779	-3158.009241
7.65	0.006892	0.105994	10.441771	22.851010	-3341.308865	-3151.037693
8.16	0.006887	0.106089	10.442051	27.042670	-3431.347172	-3144.882842
8.67	0.006896	0.106160	10.442240	31.680809	-3533.741050	-3140.709992
9.18	0.006888	0.106134	10.441858	33.741001	-3589.996059	-3149.133057
9.69	0.006897	0.106101	10.442147	35.239348	-3617.814309	-3142.767476
10.20	0.006895	0.106005	10.441406	34.316627	-3613.662792	-3159.068951
10.71	0.006897	0.105926	10.440042	34.772964	-3655.628903	-3189.080128
11.22	0.006883	0.105832	10.440069	35.869423	-3680.248540	-3188.488252
11.73	0.006885	0.105782	10.439780	38.580012	-3749.306081	-3194.841939
12.24	0.006869	0.105741	10.439639	40.800796	-3803.684710	-3197.948749
12.75	0.006870	0.105776	10.439382	42.177722	-3841.300260	-3203.595105
13.26	0.006859	0.105818	10.439768	41.785439	-3823.359992	-3195.095754
13.77	0.006862	0.105919	10.441245	40.642092	-3762.974277	-3162.599790
14.28	0.006861	0.105993	10.441811	38.139812	-3692.321289	-3150.150020
14.79	0.006870	0.106089	10.441665	37.053595	-3670.687248	-3153.364982
15.30	0.006853	0.106132	10.441122	34.768788	-3630.613884	-3165.309872
15.81	0.006840	0.106183	10.440706	34.421486	-3632.218220	-3174.466518
16.32	0.006790	0.106187	10.440768	33.950679	-3619.955415	-3173.107216
16.83	0.006732	0.106213	10.440838	34.649464	-3634.430913	-3171.571153
17.34	0.006648	0.106200	10.440976	34.114448	-3618.918507	-3168.521969
17.85	0.006563	0.106203	10.441263	34.050908	-3610.842234	-3162.213222
18.36	0.006465	0.106150	10.440601	33.754470	-3619.287384	-3176.778438
18.87	0.006382	0.106101	10.440646	33.433815	-3610.864770	-3175.785199
19.38	0.006292	0.106001	10.441235	34.164287	-3614.103469	-3162.834493
19.89	0.006235	0.105911	10.441426	35.637927	-3643.619088	-3158.630570
20.40	0.006182	0.105805	10.442061	39.104118	-3708.770480	-3144.666219
20.91	0.006148	0.105747	10.443076	39.552906	-3695.690674	-3122.334578
