Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.006990	0.049037	10.465441	-142.408520	985.802998	-2630.287865
1.02	0.007059	0.052614	10.443439	-121.403773	-5.162949	-3114.341156
1.53	0.007035	0.055640	10.435095	-87.220650	-984.477916	-3297.902226
2.04	0.007080	0.058253	10.432465	-47.901058	-1950.261238	-3355.765872
2.55	0.007077	0.060502	10.432490	-21.706748	-2552.664286	-3355.211652
3.06	0.007089	0.062420	10.431994	-12.122674	-2784.742677	-3366.139850
3.57	0.007020	0.063998	10.431755	-19.542867	-2619.443151	-3371.396617
4.08	0.007006	0.065266	10.431795	-22.695345	-2545.934305	-3370.500050
4.59	0.006954	0.066253	10.432264	-12.823634	-2762.382094	-3360.202061
5.10	0.006983	0.067048	10.432283	10.221889	-3292.427306	-3359.768177
5.61	0.007012	0.067680	10.431601	28.782282	-3735.421496	-3374.782929
6.12	0.007072	0.068169	10.430735	35.629072	-3913.009614	-3393.839440
6.63	0.007057	0.068505	10.430545	25.604411	-3686.624811	-3398.017023
7.14	0.007057	0.068735	10.429827	11.119716	-3369.737883	-3413.800138
7.65	0.007001	0.068857	10.430621	0.295322	-3102.265613	-3396.345178
8.16	0.006997	0.068918	10.431676	6.354455	-3217.400737	-3373.123268
8.67	0.006991	0.068960	10.431698	23.137770	-3603.249676	-3372.648954
9.18	0.007064	0.069009	10.431901	43.108888	-4058.286221	-3368.173468
9.69	0.007087	0.069039	10.431457	51.685421	-4265.969453	-3377.955172
10.20	0.007115	0.069046	10.431413	51.592229	-4264.818515	-3378.903655
10.71	0.007062	0.069013	10.431068	43.414424	-4084.524400	-3386.493063
11.22	0.007025	0.068938	10.430896	40.623156	-4024.241013	-3390.280685
11.73	0.006958	0.068832	10.429915	43.945604	-4123.351262	-3411.866263
12.24	0.006966	0.068732	10.429123	53.951580	-4371.960236	-3429.298716
12.75	0.006987	0.068664	10.429311	56.843225	-4434.188166	-3425.161858
13.26	0.007046	0.068650	10.430065	54.939715	-4372.969657	-3408.563574
13.77	0.007049	0.068661	10.430600	45.903241	-4152.613794	-3396.793020
14.28	0.007058	0.068688	10.431814	38.447624	-3952.987079	-3370.082761
14.79	0.006997	0.068716	10.432500	32.264046	-3794.826499	-3354.995118
15.30	0.006969	0.068736	10.431501	30.529855	-3777.950165	-3376.977050
15.81	0.006923	0.068743	10.430209	28.088435	-3751.552992	-3405.406724
16.32	0.006923	0.068776	10.430540	28.206969	-3746.639424	-3398.116815
16.83	0.006880	0.068811	10.430939	24.582321	-3654.005798	-3389.345212
17.34	0.006841	0.068834	10.430987	23.634731	-3631.089099	-3388.292575
17.85	0.006720	0.068834	10.431287	25.595851	-3669.296682	-3381.675592
18.36	0.006619	0.068809	10.430943	31.445820	-3811.910276	-3389.258482
18.87	0.006480	0.068756	10.431695	33.449078	-3840.676852	-3372.710386
19.38	0.006393	0.068697	10.433005	37.287617	-3898.823230	-3343.887698
19.89	0.006321	0.068643	10.432980	37.032204	-3893.515598	-3344.433213
20.40	0.006307	0.068597	10.433579	41.295313	-3977.851227	-3331.269624
20.91	0.006264	0.068565	10.434572	37.982451	-3878.684851	-3309.420028
21.42	0.006260	0.068519	10.435034	45.002917	-4029.629724	-3299.247736
21.93	0.006207	0.068451	10.434607	47.231219	-4090.777868	-3308.646919
22.44	0.006192	0.068367	10.434470	45.424743	-4052.344990	-3311.653234
22.95	0.006153	0.068263	10.434094	46.166812	-4078.103864	-3319.929988
23.46	0.006160	0.068190	10.434580	38.040615	-3879.836161	-3309.241080
23.97	0.006150	0.068140	10.434856	37.396885	-3858.640849	-3303.158143
24.48	0.006192	0.068144	10.434012	33.669950	-3792.329431	-3321.741507
24.99	0.006196	0.068174	10.434012	32.078876	-3755.687976	-3321.726748
25.50	0.006227	0.068223	10.434475	34.550504	-3801.922626	-3311.556793
26.02	0.006202	0.068267	10.434498	34.306844	-3795.773853	-3311.041878
26.53	0.006204	0.068298	10.434836	33.921412	-3779.098701	-3303.598889
27.04	0.006169	0.068316	10.434794	32.279061	-3742.260015	-3304.521976
27.55	0.006190	0.068327	10.435319	33.935346	-3768.285962	-3292.978605
28.06	0.006182	0.068318	10.435945	28.609007	-3631.233815	-3279.202637
28.57	0.006215	0.068309	10.435912	35.514213	-3790.968996	-3279.946409
29.08	0.006209	0.068298	10.435770	34.188370	-3763.703070	-3283.050921
29.59	0.006221	0.068295	10.435605	38.659435	-3870.446983	-3286.696280
30.10	0.006182	0.068273	10.435033	39.363326	-3899.833213	-3299.271530
30.61	0.006184	0.068239	10.435222	41.539034	-3945.567472	-3295.122219
31.12	0.006148	0.068183	10.435339	37.952304	-3860.291524	-3292.536535
31.63	0.006166	0.068128	10.435669	43.142555	-3972.162813	-3285.280623
32.14	0.006164	0.068036	10.436637	35.009980	-3762.632281	-3263.988098
32.65	0.006190	0.067978	10.437125	41.140419	-3892.485121	-3253.239709
33.16	0.006187	0.067891	10.437889	35.494205	-3744.903520	-3236.443647
33.67	0.006204	0.067879	10.439067	38.869077	-3795.412448	-3210.517016
34.18	0.006171	0.067817	10.439357	34.255053	-3682.530158	-3204.155396
34.69	0.006183	0.067851	10.439472	39.526945	-3801.224863	-3201.615672
35.20	0.006163	0.067807	10.439747	35.564909	-3703.683055	-3195.570693
35.71	0.006197	0.067852	10.440108	37.101567	-3730.731851	-3187.629867
36.22	0.006192	0.067809	10.440475	34.458895	-3661.429067	-3179.550888
36.73	0.006213	0.067840	10.440561	34.775908	-3666.739647	-3177.655518
37.24	0.006195	0.067785	10.441020	33.836826	-3634.546032	-3167.566753
37.75	0.006203	0.067784	10.441566	37.501690	-3706.315020	-3155.552396
38.26	0.006176	0.067710	10.441617	37.857388	-3713.317513	-3154.421480
38.77	0.006186	0.067693	10.441177	40.593964	-3786.473251	-3164.113826
39.28	0.006176	0.067631	10.440491	38.673462	-3758.084187	-3179.204821
39.79	0.006209	0.067628	10.440082	37.088296	-3731.018773	-3188.194964
40.30	0.006192	0.067602	10.440494	33.714626	-3643.855669	-3179.130605
40.81	0.006210	0.067612	10.440805	34.587047	-3656.777901	-3172.300072
41.32	0.006182	0.067617	10.441876	34.611730	-3632.643956	-3148.736569
41.83	0.006190	0.067636	10.442213	37.739112	-3696.848024	-3141.308333
42.34	0.006162	0.067632	10.442096	37.904980	-3703.374161	-3143.891428
42.85	0.006182	0.067642	10.442879	38.298222	-3694.360839	-3126.658535
43.36	0.006166	0.067626	10.441938	34.269453	-3623.327900	-3147.365850
43.87	0.006190	0.067627	10.440273	33.073240	-3634.197757	-3184.001804
44.38	0.006171	0.067626	10.440592	31.604230	-3593.016175	-3176.975839
44.89	0.006186	0.067626	10.441346	34.399080	-3639.968664	-3160.393144
45.40	0.006167	0.067622	10.442252	36.356191	-3664.109867	-3140.446207
45.91	0.006183	0.067609	10.443378	39.924854	-3720.299034	-3115.682595
46.42	0.006167	0.067576	10.442848	39.254450	-3717.084754	-3127.337602
46.93	0.006192	0.067554	10.442457	38.021251	-3697.722593	-3135.947211
47.44	0.006170	0.067533	10.443455	34.715974	-3598.614375	-3113.986536
47.95	0.006193	0.067551	10.442803	34.661359	-3612.397823	-3128.333899
48.46	0.006171	0.067579	10.442674	34.349525	-3608.200248	-3131.177239
48.97	0.006183	0.067613	10.446683	37.802639	-3595.229589	-3042.979033
49.48	0.006163	0.067604	10.468670	39.264082	-3121.787999	-2559.269486
