Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.007171	0.041216	10.508560	-149.088903	2163.963754	-1681.672130
1.02	0.007176	0.044824	10.480803	-126.059989	993.679583	-2292.330149
1.53	0.007213	0.047863	10.460179	-89.564087	-322.102180	-2746.063285
2.04	0.007237	0.050381	10.447604	-51.808006	-1481.249505	-3022.710334
2.55	0.007217	0.052449	10.440898	-26.414451	-2220.467163	-3170.247691
3.06	0.007244	0.054167	10.436902	-14.806443	-2579.843594	-3258.163450
3.57	0.007196	0.055606	10.434589	-20.618017	-2499.405328	-3309.046828
4.08	0.007179	0.056819	10.433440	-24.247141	-2442.365563	-3334.326676
4.59	0.007146	0.057840	10.432897	-12.920087	-2715.635235	-3346.274096
5.10	0.007169	0.058696	10.433350	9.496596	-3221.207012	-3336.303312
5.61	0.007173	0.059366	10.432868	29.310349	-3688.429574	-3346.907634
6.12	0.007218	0.059842	10.432492	37.374142	-3882.729764	-3355.182226
6.63	0.007206	0.060155	10.433367	28.093952	-3648.907151	-3335.917336
7.14	0.007214	0.060324	10.433354	12.319766	-3286.096160	-3336.208640
7.65	0.007165	0.060408	10.432437	1.573570	-3059.865073	-3356.376730
8.16	0.007161	0.060452	10.432295	6.736912	-3182.000156	-3359.502417
8.67	0.007144	0.060486	10.433140	22.410501	-3523.318326	-3340.917976
9.18	0.007195	0.060514	10.433013	42.897673	-3997.859302	-3343.716049
9.69	0.007212	0.060515	10.432579	54.868911	-4283.450328	-3353.271515
10.20	0.007236	0.060454	10.433147	55.114892	-4276.009915	-3340.772688
10.71	0.007200	0.060356	10.433026	45.429423	-4055.847256	-3343.437434
11.22	0.007179	0.060250	10.433190	38.735212	-3897.960331	-3339.823585
11.73	0.007123	0.060169	10.432957	39.736718	-3926.388362	-3344.949599
12.24	0.007129	0.060148	10.432010	50.892164	-4205.017634	-3365.777842
12.75	0.007130	0.060194	10.431885	59.430963	-4404.457219	-3368.524488
13.26	0.007187	0.060257	10.432097	61.152529	-4439.210936	-3363.873103
13.77	0.007183	0.060294	10.432358	51.608938	-4213.500574	-3358.130448
14.28	0.007198	0.060292	10.432655	39.803913	-3934.896569	-3351.590107
14.79	0.007144	0.060270	10.432844	30.046353	-3705.912029	-3347.422649
15.30	0.007122	0.060254	10.432253	26.572648	-3639.591977	-3360.437208
15.81	0.007070	0.060283	10.431265	27.083897	-3674.149316	-3382.175332
16.32	0.007069	0.060346	10.431497	30.253709	-3741.759128	-3377.064134
16.83	0.007021	0.060422	10.432107	29.752177	-3716.147762	-3363.646240
17.34	0.006975	0.060448	10.432702	27.849538	-3658.627598	-3350.556697
17.85	0.006851	0.060418	10.432694	26.403003	-3625.502626	-3350.722463
