Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.007226	0.040595	10.505384	-151.758585	2152.152310	-1751.561513
1.02	0.007245	0.044177	10.476778	-128.749814	962.762628	-2380.886702
1.53	0.007280	0.047201	10.454766	-93.286040	-361.272174	-2865.156513
2.04	0.007300	0.049722	10.444994	-56.349299	-1436.912540	-3080.137353
2.55	0.007266	0.051827	10.439388	-30.197060	-2168.218324	-3203.467922
3.06	0.007286	0.053623	10.436188	-17.813896	-2527.069714	-3273.861528
3.57	0.007245	0.055160	10.434522	-22.015751	-2468.764630	-3310.510753
4.08	0.007235	0.056490	10.433507	-24.414276	-2436.974363	-3332.854024
4.59	0.007211	0.057618	10.432856	-14.021987	-2691.196715	-3347.158215
5.10	0.007238	0.058544	10.432890	7.767002	-3192.007382	-3346.429058
5.61	0.007226	0.059270	10.433363	26.855578	-3620.497137	-3336.009805
6.12	0.007265	0.059787	10.434020	35.360944	-3801.129414	-3321.550195
6.63	0.007240	0.060111	10.433863	27.266493	-3618.422973	-3325.008145
7.14	0.007248	0.060312	10.432974	13.493601	-3321.886784	-3344.573753
7.65	0.007212	0.060437	10.432824	2.888866	-3081.232973	-3347.877676
8.16	0.007221	0.060532	10.433475	7.130469	-3163.861990	-3333.558373
8.67	0.007213	0.060623	10.433421	22.203784	-3512.080332	-3334.737203
9.18	0.007267	0.060695	10.432681	41.914501	-3982.872936	-3351.009532
9.69	0.007280	0.060709	10.432351	53.971358	-4268.028649	-3358.269695
10.20	0.007288	0.060659	10.433121	56.758457	-4314.427690	-3341.329262
10.71	0.007245	0.060555	10.432342	49.030421	-4154.509685	-3358.479267
11.22	0.007236	0.060448	10.431508	42.240181	-4017.429435	-3376.821673
11.73	0.007177	0.060361	10.431654	42.292864	-4015.279461	-3373.613964
12.24	0.007191	0.060323	10.431287	51.100293	-4226.474247	-3381.675206
12.75	0.007201	0.060341	10.431297	57.881763	-4382.371623	-3381.475123
13.26	0.007246	0.060380	10.432017	59.937527	-4413.076357	-3365.622893
13.77	0.007240	0.060405	10.432614	52.444042	-4226.814088	-3352.492571
14.28	0.007241	0.060413	10.433490	42.416415	-3975.766870	-3333.209686
14.79	0.007191	0.060420	10.433401	33.065482	-3762.569999	-3335.173231
15.30	0.007178	0.060423	10.432814	28.965515	-3681.731738	-3348.090591
15.81	0.007131	0.060460	10.432070	27.204543	-3658.363237	-3364.467704
16.32	0.007138	0.060529	10.432440	28.805112	-3686.666215	-3356.319851
16.83	0.007081	0.060584	10.433066	28.260595	-3659.695124	-3342.548802
17.34	0.007039	0.060594	10.433789	27.929907	-3635.411229	-3326.645708
17.85	0.006908	0.060545	10.432926	27.631708	-3648.449093	-3345.630602
18.36	0.006807	0.060458	10.432556	31.585298	-3747.996673	-3353.774382
18.87	0.006669	0.060350	10.433244	32.690964	-3757.571767	-3338.629262
19.38	0.006589	0.060265	10.433871	36.738822	-3836.285021	-3324.829067
19.89	0.006515	0.060216	10.434435	37.226676	-3834.510378	-3312.423651
20.40	0.006499	0.060189	10.434673	42.497478	-3950.356478	-3307.190570
20.91	0.006455	0.060157	10.435087	42.819140	-3948.213403	-3298.083047
21.42	0.006440	0.060098	10.435956	44.726903	-3972.082029	-3278.959703
21.93	0.006387	0.060012	10.436450	50.768761	-4099.789134	-3268.109591
22.44	0.006368	0.059934	10.436530	47.138800	-4014.369234	-3266.335879
22.95	0.006327	0.059887	10.436503	45.029005	-3966.423142	-3266.927932
23.46	0.006341	0.059886	10.436461	43.933007	-3942.170703	-3267.859953
23.97	0.006339	0.059936	10.436337	35.608662	-3753.396347	-3270.577838
24.48	0.006372	0.060008	10.436991	34.593559	-3714.946136	-3256.190184
24.99	0.006367	0.060075	10.437411	35.429760	-3724.523526	-3246.964337
25.50	0.006395	0.060111	10.436925	34.980194	-3725.387571	-3257.660384
26.02	0.006360	0.060122	10.436557	35.857039	-3754.051178	-3265.748478
26.53	0.006373	0.060113	10.437071	36.549792	-3758.140722	-3254.437647
