Length [m]	OTDR [V]	Brillouin intensity [V]	Fitted Frequency [GHz]	Temperature [”]	Compensated Strain [レュ]	Uncompensated Strain [レュ]
0.51	0.006919	0.036507	10.503809	-152.920298	2096.534022	-1786.208492
1.02	0.007044	0.039788	10.476558	-129.213046	922.323605	-2385.716456
1.53	0.006986	0.042532	10.456093	-92.884899	-385.931481	-2835.953531
2.04	0.007042	0.044799	10.444599	-52.730912	-1575.339337	-3088.811650
2.55	0.006971	0.046630	10.437273	-26.942656	-2337.957431	-3250.003741
3.06	0.006911	0.048161	10.433732	-15.748114	-2677.308784	-3327.896594
3.57	0.006863	0.049441	10.432438	-23.729343	-2523.431521	-3356.368655
4.08	0.006852	0.050550	10.431152	-27.026378	-2477.195919	-3384.662452
4.59	0.006836	0.051486	10.430821	-17.386738	-2706.728588	-3391.942135
5.10	0.006878	0.052265	10.431348	5.837574	-3229.185726	-3380.344003
5.61	0.006898	0.052850	10.431880	25.400684	-3667.251658	-3368.639429
6.12	0.006919	0.053269	10.431448	34.771229	-3892.929702	-3378.151108
6.63	0.006881	0.053507	10.430185	25.457460	-3707.651170	-3405.930018
7.14	0.006865	0.053671	10.429849	10.895135	-3380.189960	-3413.330900
7.65	0.006834	0.053790	10.430729	-2.600895	-3049.200348	-3393.951734
8.16	0.006847	0.053915	10.431494	2.024829	-3138.049650	-3377.131257
8.67	0.006872	0.054054	10.431292	18.269573	-3516.661830	-3381.580014
9.18	0.006950	0.054190	10.431102	41.094818	-4046.462817	-3385.750166
9.69	0.006948	0.054244	10.430527	53.391891	-4342.801594	-3398.403109
10.20	0.006948	0.054219	10.430544	55.777145	-4397.325797	-3398.037248
10.71	0.006886	0.054105	10.430380	45.963439	-4175.189994	-3401.635722
11.22	0.006836	0.053999	10.429773	40.204963	-4056.626308	-3414.985106
11.73	0.006798	0.053905	10.428934	41.072787	-4095.973319	-3433.462257
12.24	0.006829	0.053897	10.429113	51.908476	-4341.261797	-3429.507964
12.75	0.006865	0.053921	10.429259	57.337798	-4462.890375	-3426.309939
13.26	0.006924	0.053943	10.428906	58.108789	-4488.779194	-3434.075548
13.77	0.006903	0.053894	10.428835	49.014657	-4281.074311	-3435.638938
14.28	0.006878	0.053822	10.429787	40.180172	-4055.734547	-3414.678839
14.79	0.006815	0.053728	10.431206	30.737782	-3805.655941	-3383.468944
15.30	0.006788	0.053697	10.431159	27.762944	-3738.264949	-3384.507529
15.81	0.006769	0.053718	10.430884	24.622581	-3672.312469	-3390.552981
16.32	0.006797	0.053803	10.430316	25.213866	-3699.032559	-3403.057650
16.83	0.006760	0.053870	10.430619	21.533499	-3607.321811	-3396.389900
17.34	0.006713	0.053887	10.431215	22.440496	-3614.441892	-3383.265420
17.85	0.006568	0.053822	10.430545	24.183350	-3670.026904	-3398.017667
18.36	0.006451	0.053719	10.430342	28.887582	-3782.999051	-3402.484166
18.87	0.006310	0.053588	10.430936	31.718981	-3834.479447	-3389.418115
19.38	0.006249	0.053512	10.431363	33.125681	-3856.994961	-3380.006658
19.89	0.006196	0.053470	10.431689	32.417842	-3833.196135	-3372.847962
20.40	0.006199	0.053468	10.432008	33.485296	-3850.415658	-3365.833996
20.91	0.006157	0.053453	10.432126	35.767413	-3900.222625	-3363.233087
21.42	0.006138	0.053433	10.432865	45.089566	-4097.760117	-3346.963959
21.93	0.006065	0.053386	10.433873	46.232580	-4100.826269	-3324.789835
22.44	0.006034	0.053363	10.434068	50.763204	-4200.631891	-3320.508914
22.95	0.005991	0.053339	10.433739	42.715535	-4022.967755	-3327.749478
23.46	0.006009	0.053361	10.434529	36.798519	-3868.520939	-3310.351066
23.97	0.006032	0.053384	10.433794	35.183174	-3848.300034	-3326.532912
24.48	0.006075	0.053406	10.433274	31.910104	-3784.954839	-3337.979555
24.99	0.006083	0.053384	10.433921	32.773480	-3789.893076	-3323.731658
25.50	0.006097	0.053346	10.433542	37.036438	-3896.764166	-3332.068063
26.02	0.006042	0.053285	10.432801	34.779702	-3861.908926	-3348.374171
26.53	0.006055	0.053250	10.432552	33.261060	-3832.697847	-3353.856787
27.04	0.006018	0.053239	10.433059	30.753931	-3763.298815	-3342.709648
27.55	0.006043	0.053285	10.433135	28.052459	-3699.351608	-3341.030552
28.06	0.006063	0.053349	10.433763	26.449402	-3647.974589	-3327.222580
28.57	0.006095	0.053423	10.434010	33.154154	-3796.616043	-3321.785678
29.08	0.006079	0.053455	10.433881	33.192231	-3800.470633	-3324.626455
29.59	0.006082	0.053470	10.433796	40.757082	-3976.573078	-3326.498185
30.10	0.006024	0.053447	10.433648	38.796532	-3934.836448	-3329.736278
30.61	0.006021	0.053447	10.434290	35.865294	-3852.561046	-3315.619148
31.12	0.006008	0.053442	10.434071	37.843352	-3903.155676	-3320.446285
31.63	0.006032	0.053480	10.433983	36.103241	-3865.123894	-3322.377935
32.14	0.006051	0.053488	10.434905	32.754546	-3766.761953	-3302.082521
32.65	0.006078	0.053474	10.435636	38.506989	-3882.338085	-3286.015764
33.16	0.006043	0.053413	10.436365	33.110099	-3741.282562	-3269.970165
33.67	0.006058	0.053349	10.436982	37.129820	-3819.591017	-3256.401679
34.18	0.006015	0.053271	10.437347	33.584354	-3729.545969	-3248.360605
34.69	0.006023	0.053254	10.437595	35.220630	-3761.509346	-3242.920348
35.20	0.006032	0.053231	10.438188	28.426757	-3591.437465	-3229.871663
35.71	0.006059	0.053266	10.438254	31.714114	-3665.575128	-3228.406296
36.22	0.006070	0.053256	10.437542	28.676845	-3612.087322	-3244.078091
36.73	0.006090	0.053267	10.436918	32.511340	-3714.739782	-3257.798762
